lesson,markdown_file,title,declared_syllabus_reference,core_regions,optional_regions,lesson_exam_questions,markdown_html_identity,browser_load_identity,normalised_duplicate_group,independent_semantic_status,defect_ids,release_status
036,036-logic-gates-not-and-or-nand-nor-xor.md,"Lesson 036: Logic gates: NOT, AND, OR, NAND, NOR, XOR",Syllabus Section 3,12,4,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
037,037-truth-tables-and-boolean-expressions.md,Lesson 037: Truth tables and Boolean expressions,Syllabus Section 3,11,4,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
038,038-building-logic-circuits-from-requirements.md,Lesson 038: Building logic circuits from requirements,Syllabus Section 3,0,15,5,Pass,Pass,DUP-BASE-01,PendingIndependentSemanticReview,,NotReady
039,039-hardware-selection-for-different-users.md,Lesson 039: Hardware selection for different users,Syllabus Section 3,11,4,5,Pass,Pass,DUP-BASE-01,PendingIndependentSemanticReview,,NotReady
040,040-environmental-and-reliability-considerations-in-hardware.md,Lesson 040: Environmental and reliability considerations in hardware,Syllabus Section 3,11,4,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
041,041-section-3-review-compare-justify-calculate.md,"Lesson 041: Section 3 review: compare, justify, calculate",Syllabus Section 3,11,4,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
042,042-von-neumann-architecture-cpu-components-and-registers.md,"Lesson 042: Von Neumann architecture, CPU components and registers",Syllabus Section 4,4,16,5,Pass,Pass,,Fail,SCI-CONT-002,Blocked
043,043-system-buses-ports-and-processor-performance.md,"Lesson 043: System buses, ports and processor performance",Syllabus Section 4,3,19,5,Pass,Pass,,Fail,SCI-CONT-002,Blocked
044,044-register-transfer-notation-for-the-fetch-decode-execute-cycle.md,Lesson 044: Register-transfer notation for the fetch-decode-execute cycle,Syllabus Section 4,3,14,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
045,045-interrupt-causes-detection-and-handling.md,"Lesson 045: Interrupt causes, detection and handling",Syllabus Section 4,2,16,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
046,046-assembly-language-and-machine-code.md,Lesson 046: Assembly language and machine code,Syllabus Section 4,3,16,5,Pass,Pass,,Fail,SCI-CONT-003,Blocked
047,047-two-pass-assembly-program-tracing-and-the-instruction-set.md,"Lesson 047: Two-pass assembly, program tracing and the instruction set",Syllabus Section 4,4,16,5,Pass,Pass,,Fail,SCI-CONT-003,Blocked
048,048-addressing-modes-and-address-sensitive-instructions.md,Lesson 048: Addressing modes and address-sensitive instructions,Syllabus Section 4,3,15,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
049,049-section-4-semantic-checkpoint.md,Lesson 049: Section 4 semantic checkpoint,Syllabus Section 4,2,19,5,Pass,Pass,,Fail,SCI-CONT-006,Blocked
050,050-bit-manipulation-with-masks-and-shifts.md,Lesson 050: Bit manipulation with masks and shifts,Syllabus Section 4,3,21,5,Pass,Pass,,Fail,SCI-VIS-001;SCI-VIS-003;SCI-WEB-001,Blocked
051,051-bit-manipulation-masks-and-binary-shifts.md,Lesson 051: Bit manipulation: masks and binary shifts,Section 4.15 Bit manipulation,13,13,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
052,052-section-4-review-tracing-processor-behaviour.md,Lesson 052: Section 4 review: tracing processor behaviour,Syllabus Section 4,0,20,5,Pass,Pass,DUP-BASE-03,Fail,SCI-CROSS-001,Blocked
053,053-why-an-operating-system-is-required-and-what-it-manages.md,Lesson 053: Why an operating system is required and what it manages,Syllabus Section 5,3,20,5,Pass,Pass,,Fail,SCI-CROSS-001,Blocked
054,054-required-utility-software.md,Lesson 054: Required utility software,Syllabus Section 5,3,21,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
055,055-libraries-and-dynamically-linked-library-files.md,Lesson 055: Libraries and dynamically linked library files,Syllabus Section 5,3,21,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
056,056-assembler-compiler-and-interpreter-choices.md,"Lesson 056: Assembler, compiler and interpreter choices",Syllabus Section 5,2,22,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
057,057-java-translation-and-required-ide-features.md,Lesson 057: Java translation and required IDE features,Syllabus Section 5,2,19,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
058,058-compilation-stages-lexical-analysis-to-object-code.md,Lesson 058: Compilation stages: lexical analysis to object code,Syllabus Section 5,6,15,5,Pass,Pass,DUP-BASE-03,PendingIndependentSemanticReview,,NotReady
059,059-linkers-loaders-and-libraries.md,"Lesson 059: Linkers, loaders and libraries",Syllabus Section 5,0,20,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
060,060-error-types-syntax-logic-runtime-and-translation-diagnostics.md,"Lesson 060: Error types: syntax, logic, runtime and translation diagnostics",Syllabus Section 5,0,20,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
061,061-choosing-translation-approaches-for-development-and-deployment.md,Lesson 061: Choosing translation approaches for development and deployment,Syllabus Section 5,0,21,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
062,062-section-5-review-precise-software-comparisons.md,Lesson 062: Section 5 review: precise software comparisons,Syllabus Section 5,11,4,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
063,063-security-privacy-and-data-integrity.md,"Lesson 063: Security, privacy and data integrity",Syllabus Section 6,2,20,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
064,064-virus-spyware-anti-virus-and-anti-spyware.md,"Lesson 064: Virus, spyware, anti-virus and anti-spyware",Syllabus Section 6,2,23,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
065,065-required-internet-threats-and-matching-risk-reduction-methods.md,Lesson 065: Required internet threats and matching risk-reduction methods,Syllabus Section 6,2,23,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
066,066-user-accounts-passwords-and-biometric-authentication.md,"Lesson 066: User accounts, passwords and biometric authentication",Syllabus Section 6,2,25,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
067,067-access-rights-and-encryption-as-data-security-methods.md,Lesson 067: Access rights and encryption as data-security methods,Syllabus Section 6,3,21,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
068,068-digital-signatures-and-encryption.md,Lesson 068: Digital signatures and encryption,Syllabus Section 6,2,24,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
069,069-firewall-protection-from-a-stand-alone-pc-to-a-network.md,Lesson 069: Firewall protection from a stand-alone PC to a network,Syllabus Section 6,2,23,5,Pass,Pass,,Fail,SCI-CONT-004,Blocked
070,070-complete-validation-and-verification-methods.md,Lesson 070: Complete validation and verification methods,Syllabus Section 6,4,21,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
071,071-backup-strategies-disaster-recovery-and-audit-trails.md,"Lesson 071: Backup strategies, disaster recovery, and audit trails",Syllabus Section 6,15,8,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
072,072-section-6-review-matching-risks-to-controls.md,Lesson 072: Section 6 review: matching risks to controls,Syllabus Section 6,14,6,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
073,073-professional-ethics-professional-bodies-and-ethical-decisions.md,"Lesson 073: Professional ethics, professional bodies and ethical decisions",Syllabus Section 7,3,18,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
074,074-privacy-surveillance-and-data-protection.md,"Lesson 074: Privacy, surveillance, and data protection",Syllabus Section 7,15,7,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
075,075-copyright-legislation-fsf-osi-and-licence-permissions.md,"Lesson 075: Copyright legislation, FSF, OSI and licence permissions",Syllabus Section 7,3,20,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
076,076-shareware-and-commercial-licences.md,Lesson 076: Shareware and commercial licences,Syllabus Section 7,2,21,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
077,077-ai-applications-and-impact-chains.md,Lesson 077: AI applications and impact chains,Syllabus Section 7,3,20,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
078,078-section-7-required-content-checkpoint.md,Lesson 078: Section 7 required-content checkpoint,Syllabus Section 7,2,18,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
079,079-file-based-limitations-and-relational-solutions.md,Lesson 079: File-based limitations and relational solutions,Syllabus Section 8,3,19,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
080,080-relational-terminology-keys-and-relationships.md,"Lesson 080: Relational terminology, keys and relationships",Syllabus Section 8,3,17,5,Pass,Pass,,Fail,SCI-SEQ-002,Blocked
081,081-e-r-design-normalisation-and-dbms-features.md,"Lesson 081: E-R design, normalisation and DBMS features",Syllabus Section 8,4,22,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
082,082-primary-keys-foreign-keys-and-relationships.md,"Lesson 082: Primary keys, foreign keys and relationships",Syllabus Section 8,0,19,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
083,083-entity-relationship-modelling.md,Lesson 083: Entity-relationship modelling,Syllabus Section 8,0,19,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
084,084-ddl-dml-and-sql-roles.md,"Lesson 084: DDL, DML and SQL roles",Syllabus Section 8,3,17,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
085,085-read-and-write-sql-statements-by-their-semantics.md,Lesson 085: Read and write SQL statements by their semantics,Syllabus Section 8,3,16,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
086,086-ddl-and-two-table-data-queries.md,Lesson 086: DDL and two-table data queries,Syllabus Section 8,3,17,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
087,087-sql-joins-using-related-tables.md,Lesson 087: SQL joins using related tables,Syllabus Section 8,0,16,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
088,088-insert-delete-and-update.md,"Lesson 088: INSERT, DELETE and UPDATE",Syllabus Section 8,2,18,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
089,089-validation-verification-security-and-backup-in-databases.md,"Lesson 089: Validation, verification, security and backup in databases",Syllabus Section 8,13,6,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
090,090-section-8-required-content-checkpoint.md,Lesson 090: Section 8 required-content checkpoint,Syllabus Section 8,2,19,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
091,091-paper-1-review-representation-and-communication.md,Lesson 091: Paper 1 review: representation and communication,Paper 1 review: Sections 1-8,12,5,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
092,092-paper-1-review-hardware-and-processor-fundamentals.md,Lesson 092: Paper 1 review: hardware and processor fundamentals,Paper 1 review: Sections 1-8,13,4,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
093,093-paper-1-review-system-software-and-security.md,Lesson 093: Paper 1 review: system software and security,Paper 1 review: Sections 1-8,13,6,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
094,094-paper-1-review-ethics-and-databases.md,Lesson 094: Paper 1 review: ethics and databases,Paper 1 review: Sections 1-8,13,7,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
095,095-paper-1-mixed-question-strategy.md,Lesson 095: Paper 1 mixed question strategy,Paper 1 review: Sections 1-8,13,7,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
096,096-paper-1-timed-short-answer-practice.md,Lesson 096: Paper 1 timed short-answer practice,Paper 1 review: Sections 1-8,15,7,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
097,097-paper-1-extended-response-practice.md,Lesson 097: Paper 1 extended-response practice,Paper 1 review: Sections 1-8,13,7,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
098,098-paper-1-mock-review-and-correction-clinic.md,Lesson 098: Paper 1 mock review and correction clinic,Paper 1 review: Sections 1-8,15,7,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
099,099-abstraction-and-decomposition-into-program-modules.md,Lesson 099: Abstraction and decomposition into program modules,Syllabus Section 9,2,15,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
100,100-algorithms-ipo-solutions-and-identifier-tables.md,"Lesson 100: Algorithms, IPO solutions and identifier tables",Syllabus Section 9,4,19,5,Pass,Pass,,Fail,SCI-SEQ-003,Blocked
101,101-sequence-selection-and-iteration.md,"Lesson 101: Sequence, selection and iteration",Syllabus Section 9,2,20,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
102,102-structured-english-flowcharts-and-pseudocode-conversion.md,"Lesson 102: Structured English, flowcharts and pseudocode conversion",Syllabus Section 9,3,19,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
103,103-stepwise-refinement-from-ipo-design-to-modules.md,Lesson 103: Stepwise refinement from IPO design to modules,Syllabus Section 9,3,20,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
104,104-logic-statements-define-parts-of-an-algorithm.md,Lesson 104: Logic statements define parts of an algorithm,Syllabus Section 9,3,20,5,Pass,Pass,,Fail,SCI-SEQ-004,Blocked
105,105-linear-search-and-binary-search.md,Lesson 105: Linear search and binary search,Syllabus Section 9,0,20,5,Pass,Pass,,Fail,SCI-SEQ-004,Blocked
106,106-bubble-sort-and-insertion-sort.md,Lesson 106: Bubble sort and insertion sort,Syllabus Section 9,0,18,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
107,107-maximum-minimum-count-and-total.md,"Lesson 107: Maximum, minimum, count and total",Syllabus Section 9,14,7,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
108,108-string-processing-algorithms.md,Lesson 108: String-processing algorithms,Syllabus Section 9,14,6,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
109,109-nested-loops-and-table-style-problems.md,Lesson 109: Nested loops and table-style problems,Syllabus Section 9,13,7,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
110,110-algorithm-efficiency-at-as-level.md,Lesson 110: Algorithm efficiency at AS level,Syllabus Section 9,14,7,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
111,111-cambridge-pseudocode-conventions-and-exam-readability.md,Lesson 111: Cambridge pseudocode conventions and exam readability,Syllabus Section 9,14,7,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
112,112-designing-algorithms-from-word-problems.md,Lesson 112: Designing algorithms from word problems,Syllabus Section 9,0,18,5,Pass,Pass,,Fail,SCI-SEQ-005,Blocked
113,113-section-9-required-content-checkpoint.md,Lesson 113: Section 9 required-content checkpoint,Syllabus Section 9,2,20,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
114,114-select-and-use-the-official-cambridge-data-types.md,Lesson 114: Select and use the official Cambridge data types,Syllabus Section 10,3,19,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
115,115-define-read-and-save-record-data.md,"Lesson 115: Define, read and save record data",Syllabus Section 10,3,20,5,Pass,Pass,,Fail,SCI-SEQ-004;SCI-SEQ-005,Blocked
116,116-array-terminology-selection-and-one-dimensional-pseudocode.md,"Lesson 116: Array terminology, selection and one-dimensional pseudocode",Syllabus Section 10,7,19,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
117,117-select-and-write-two-dimensional-arrays.md,Lesson 117: Select and write two-dimensional arrays,Syllabus Section 10,2,20,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
118,118-array-model-required-by-search-algorithms.md,Lesson 118: Array model required by search algorithms,Syllabus Section 10,4,24,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
119,119-write-linear-search-and-bubble-sort-algorithms.md,Lesson 119: Write linear-search and bubble-sort algorithms,Syllabus Section 10,2,21,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
120,120-why-files-are-needed-and-how-text-file-pseudocode-works.md,Lesson 120: Why files are needed and how text-file pseudocode works,Syllabus Section 10,3,23,5,Pass,Pass,,Fail,SCI-SEQ-006,Blocked
121,121-abstract-data-types-and-array-based-operations.md,Lesson 121: Abstract data types and array-based operations,Syllabus Section 10,6,25,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
122,122-choosing-stack-queue-or-linked-list.md,"Lesson 122: Choosing stack, queue or linked list",Syllabus Section 10,2,24,5,Pass,Pass,,Fail,SCI-SEQ-006,Blocked
123,123-stacks-and-queues-as-abstract-data-types.md,Lesson 123: Stacks and queues as abstract data types,Syllabus Section 10,0,20,5,Pass,Pass,,Fail,SCI-SEQ-006,Blocked
124,124-choosing-appropriate-data-structures.md,Lesson 124: Choosing appropriate data structures,Syllabus Section 10,0,25,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
125,125-pseudocode-data-declarations-vs-java-declarations.md,Lesson 125: Pseudocode data declarations vs Java declarations,Syllabus Section 10,16,9,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
126,126-section-10-review-data-modelling-in-algorithms.md,Lesson 126: Section 10 review: data modelling in algorithms,Syllabus Section 10,15,8,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
127,127-translate-descriptions-into-cambridge-pseudocode.md,Lesson 127: Translate descriptions into Cambridge pseudocode,Syllabus Section 11,3,22,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
128,128-complete-cambridge-pseudocode-statements.md,Lesson 128: Complete Cambridge pseudocode statements,Syllabus Section 11,3,21,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
129,129-use-supplied-built-in-and-library-routines.md,Lesson 129: Use supplied built-in and library routines,Syllabus Section 11,3,20,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
130,130-selection-and-loop-structures.md,Lesson 130: Selection and loop structures,Syllabus Section 11,5,21,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
131,131-procedures-functions-and-their-interfaces.md,"Lesson 131: Procedures, functions and their interfaces",Syllabus Section 11,5,21,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
132,132-parameters-by-value-and-by-reference.md,Lesson 132: Parameters: by value and by reference,Syllabus Section 11,15,7,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
133,133-scope-lifetime-and-local-global-variables.md,"Lesson 133: Scope, lifetime, and local/global variables",Syllabus Section 11,15,9,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
134,134-clear-and-efficient-cambridge-pseudocode.md,Lesson 134: Clear and efficient Cambridge pseudocode,Syllabus Section 11,3,24,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
135,135-arithmetic-operators-integer-division-and-mod.md,"Lesson 135: Arithmetic operators, integer division, and MOD",Syllabus Section 11,16,9,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
136,136-input-and-output-formatting.md,Lesson 136: Input and output formatting,Syllabus Section 11,16,9,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
137,137-file-handling-patterns-in-pseudocode-and-java.md,Lesson 137: File handling patterns in pseudocode and Java,Syllabus Section 11,16,10,5,Pass,Pass,,Fail,SCI-META-001;SCI-CONT-005;SCI-VIS-002,Blocked
138,138-testing-with-normal-abnormal-and-extreme-boundary-data.md,"Lesson 138: Testing with normal, abnormal, and extreme/boundary data",Course sequence Section 11; Optional enrichment preview of Section 12.3,0,23,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
139,139-debugging-using-traces-and-breakpoints.md,Lesson 139: Debugging using traces and breakpoints,Course sequence Section 11; Optional enrichment preview of Section 12.3,0,22,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
140,140-robust-program-design-validation-and-modularity.md,Lesson 140: Robust program design: validation and modularity,Syllabus Section 11,17,8,5,Pass,Pass,,Fail,SCI-SEQ-007,Blocked
141,141-converting-java-habits-into-cambridge-pseudocode.md,Lesson 141: Converting Java habits into Cambridge pseudocode,Syllabus Section 11,0,26,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
142,142-section-11-review-writing-complete-program-fragments.md,Lesson 142: Section 11 review: writing complete program fragments,Syllabus Section 11,0,27,5,Pass,Pass,,Fail,SCI-SEQ-007,Blocked
143,143-lifecycle-models-purpose-and-limitations.md,"Lesson 143: Lifecycle models, purpose and limitations",Syllabus Section 12,3,25,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
144,144-structure-charts-and-the-purpose-of-state-transition-diagrams.md,Lesson 144: Structure charts and the purpose of state-transition diagrams,Syllabus Section 12,3,24,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
145,145-expose-locate-and-correct-program-errors.md,"Lesson 145: Expose, locate and correct program errors",Syllabus Section 12,3,22,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
146,146-testing-maintenance-and-enhancement.md,"Lesson 146: Testing, maintenance and enhancement",Syllabus Section 12,7,21,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
147,147-section-12-review-software-development-case-study.md,Lesson 147: Section 12 review: software development case study,Syllabus Section 12,0,26,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
148,148-paper-2-review-algorithm-design-and-data-structures.md,Lesson 148: Paper 2 review: algorithm design and data structures,Paper 2 review: Sections 9-12,16,7,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
