old_lesson,old_title,new_lesson,new_title,reason
"55","Libraries and dynamically linked library files","27","Utility software, libraries and linked files","Mapped by official section, syllabus teaching evidence and topic similarity"
"56","Assembler, compiler and interpreter choices","28","Assemblers, compilers and interpreters","Mapped by official section, syllabus teaching evidence and topic similarity"
"57","Java translation and required IDE features","30","IDE features and practical debugging support","Mapped by official section, syllabus teaching evidence and topic similarity"
"58","Compilation stages: lexical analysis to object code","27","Utility software, libraries and linked files","Mapped by official section, syllabus teaching evidence and topic similarity"
"59","Linkers, loaders and libraries","27","Utility software, libraries and linked files","Mapped by official section, syllabus teaching evidence and topic similarity"
"60","Error types: syntax, logic, runtime and translation diagnostics","29","Choosing a translator and understanding Java translation","Mapped by official section, syllabus teaching evidence and topic similarity"
"61","Choosing translation approaches for development and deployment","29","Choosing a translator and understanding Java translation","Mapped by official section, syllabus teaching evidence and topic similarity"
"62","Section 5 review: precise software comparisons","27","Utility software, libraries and linked files","Mapped by official section, syllabus teaching evidence and topic similarity"
"63","Security, privacy and data integrity","31","Security, privacy, integrity and the need for protection","Mapped by official section, syllabus teaching evidence and topic similarity"
"64","Virus, spyware, anti-virus and anti-spyware","33","Authentication, encryption and network protection","Mapped by official section, syllabus teaching evidence and topic similarity"
"65","Required internet threats and matching risk-reduction methods","32","Internet threats, malware and access restriction","Mapped by official section, syllabus teaching evidence and topic similarity"
"66","User accounts, passwords and biometric authentication","33","Authentication, encryption and network protection","Mapped by official section, syllabus teaching evidence and topic similarity"
"67","Access rights and encryption as data-security methods","33","Authentication, encryption and network protection","Mapped by official section, syllabus teaching evidence and topic similarity"
"68","Digital signatures and encryption","33","Authentication, encryption and network protection","Mapped by official section, syllabus teaching evidence and topic similarity"
"69","Firewall protection from a stand-alone PC to a network","33","Authentication, encryption and network protection","Mapped by official section, syllabus teaching evidence and topic similarity"
"70","Complete validation and verification methods","34","Validation, verification, parity and checksums","Mapped by official section, syllabus teaching evidence and topic similarity"
"71","Backup strategies, disaster recovery, and audit trails","31","Security, privacy, integrity and the need for protection","Mapped by official section, syllabus teaching evidence and topic similarity"
"72","Section 6 review: matching risks to controls","32","Internet threats, malware and access restriction","Mapped by official section, syllabus teaching evidence and topic similarity"
"73","Professional ethics, professional bodies and ethical decisions","35","Professional ethics and professional bodies","Mapped by official section, syllabus teaching evidence and topic similarity"
"74","Privacy, surveillance, and data protection","35","Professional ethics and professional bodies","Mapped by official section, syllabus teaching evidence and topic similarity"
"75","Copyright legislation, FSF, OSI and licence permissions","37","Copyright and software licences","Mapped by official section, syllabus teaching evidence and topic similarity"
"76","Shareware and commercial licences","37","Copyright and software licences","Mapped by official section, syllabus teaching evidence and topic similarity"
"77","AI applications and impact chains","38","Artificial intelligence applications and impacts","Mapped by official section, syllabus teaching evidence and topic similarity"
"78","Section 7 required-content checkpoint","37","Copyright and software licences","Mapped by official section, syllabus teaching evidence and topic similarity"
"79","File-based limitations and relational solutions","39","From file-based systems to relational databases","Mapped by official section, syllabus teaching evidence and topic similarity"
"80","Relational terminology, keys and relationships","39","From file-based systems to relational databases","Mapped by official section, syllabus teaching evidence and topic similarity"
"81","E-R design, normalisation and DBMS features","41","DBMS architecture, integrity, security and backup","Mapped by official section, syllabus teaching evidence and topic similarity"
"82","Primary keys, foreign keys and relationships","39","From file-based systems to relational databases","Mapped by official section, syllabus teaching evidence and topic similarity"
"83","Entity-relationship modelling","40","Entity-relationship design and normalisation","Mapped by official section, syllabus teaching evidence and topic similarity"
"84","DDL, DML and SQL roles","42","DDL, DML and the role of SQL","Mapped by official section, syllabus teaching evidence and topic similarity"
"85","Read and write SQL statements by their semantics","43","Reading and writing SQL queries","Mapped by official section, syllabus teaching evidence and topic similarity"
"86","DDL and two-table data queries","44","Creating and maintaining database data","Mapped by official section, syllabus teaching evidence and topic similarity"
"87","SQL joins using related tables","43","Reading and writing SQL queries","Mapped by official section, syllabus teaching evidence and topic similarity"
"88","INSERT, DELETE and UPDATE","44","Creating and maintaining database data","Mapped by official section, syllabus teaching evidence and topic similarity"
"89","Validation, verification, security and backup in databases","41","DBMS architecture, integrity, security and backup","Mapped by official section, syllabus teaching evidence and topic similarity"
"90","Section 8 required-content checkpoint","39","From file-based systems to relational databases","Mapped by official section, syllabus teaching evidence and topic similarity"
"91","Paper 1 review: representation and communication","45","Paper 1 integrated review and error clinic","Paper 1 review consolidated into L045"
"92","Paper 1 review: hardware and processor fundamentals","45","Paper 1 integrated review and error clinic","Paper 1 review consolidated into L045"
"93","Paper 1 review: system software and security","45","Paper 1 integrated review and error clinic","Paper 1 review consolidated into L045"
"94","Paper 1 review: ethics and databases","45","Paper 1 integrated review and error clinic","Paper 1 review consolidated into L045"
"95","Paper 1 mixed question strategy","45","Paper 1 integrated review and error clinic","Paper 1 review consolidated into L045"
"96","Paper 1 timed short-answer practice","45","Paper 1 integrated review and error clinic","Paper 1 review consolidated into L045"
"97","Paper 1 extended-response practice","45","Paper 1 integrated review and error clinic","Paper 1 review consolidated into L045"
"98","Paper 1 mock review and correction clinic","45","Paper 1 integrated review and error clinic","Paper 1 review consolidated into L045"
"99","Abstraction and decomposition into program modules","54","Integrated algorithm design from a word problem","Mapped by official section, syllabus teaching evidence and topic similarity"
"100","Algorithms, IPO solutions and identifier tables","48","Algorithms and meaningful identifiers","Mapped by official section, syllabus teaching evidence and topic similarity"
"101","Sequence, selection and iteration","50","Sequence, selection and iteration","Mapped by official section, syllabus teaching evidence and topic similarity"
"102","Structured English, flowcharts and pseudocode conversion","51","Structured English, flowcharts and pseudocode","Mapped by official section, syllabus teaching evidence and topic similarity"
"103","Stepwise refinement from IPO design to modules","54","Integrated algorithm design from a word problem","Mapped by official section, syllabus teaching evidence and topic similarity"
"104","Logic statements define parts of an algorithm","53","Constructing and interpreting logic statements","Mapped by official section, syllabus teaching evidence and topic similarity"
"105","Linear search and binary search","46","Abstraction and abstract models","Mapped by official section, syllabus teaching evidence and topic similarity"
"106","Bubble sort and insertion sort","46","Abstraction and abstract models","Mapped by official section, syllabus teaching evidence and topic similarity"
"107","Maximum, minimum, count and total","46","Abstraction and abstract models","Mapped by official section, syllabus teaching evidence and topic similarity"
"108","String-processing algorithms","48","Algorithms and meaningful identifiers","Mapped by official section, syllabus teaching evidence and topic similarity"
"109","Nested loops and table-style problems","47","Decomposition and modular problem solving","Mapped by official section, syllabus teaching evidence and topic similarity"
"110","Algorithm efficiency at AS level","52","Stepwise refinement","Mapped by official section, syllabus teaching evidence and topic similarity"
"111","Cambridge pseudocode conventions and exam readability","49","Input-process-output solution design","Mapped by official section, syllabus teaching evidence and topic similarity"
"112","Designing algorithms from word problems","54","Integrated algorithm design from a word problem","Mapped by official section, syllabus teaching evidence and topic similarity"
"113","Section 9 required-content checkpoint","54","Integrated algorithm design from a word problem","Mapped by official section, syllabus teaching evidence and topic similarity"
"114","Select and use the official Cambridge data types","55","Cambridge data types and declarations","Mapped by official section, syllabus teaching evidence and topic similarity"
"115","Define, read and save record data","56","Records: defining, reading and saving structured data","Mapped by official section, syllabus teaching evidence and topic similarity"
"116","Array terminology, selection and one-dimensional pseudocode","58","Selecting and using one-dimensional arrays","Mapped by official section, syllabus teaching evidence and topic similarity"
"117","Select and write two-dimensional arrays","58","Selecting and using one-dimensional arrays","Mapped by official section, syllabus teaching evidence and topic similarity"
"118","Array model required by search algorithms","60","Linear search using arrays","Mapped by official section, syllabus teaching evidence and topic similarity"
"119","Write linear-search and bubble-sort algorithms","60","Linear search using arrays","Mapped by official section, syllabus teaching evidence and topic similarity"
"120","Why files are needed and how text-file pseudocode works","62","Why files are needed and text-file pseudocode","Mapped by official section, syllabus teaching evidence and topic similarity"
"121","Abstract data types and array-based operations","64","Stacks and LIFO operations","Mapped by official section, syllabus teaching evidence and topic similarity"
"122","Choosing stack, queue or linked list","64","Stacks and LIFO operations","Mapped by official section, syllabus teaching evidence and topic similarity"
"123","Stacks and queues as abstract data types","63","Abstract data types","Mapped by official section, syllabus teaching evidence and topic similarity"
"124","Choosing appropriate data structures","68","Choosing and combining data structures","Mapped by official section, syllabus teaching evidence and topic similarity"
"125","Pseudocode data declarations vs Java declarations","55","Cambridge data types and declarations","Mapped by official section, syllabus teaching evidence and topic similarity"
"126","Section 10 review: data modelling in algorithms","60","Linear search using arrays","Mapped by official section, syllabus teaching evidence and topic similarity"
"127","Translate descriptions into Cambridge pseudocode","69","Translating descriptions into Cambridge pseudocode","Mapped by official section, syllabus teaching evidence and topic similarity"
"128","Complete Cambridge pseudocode statements","70","Declarations, assignment and input/output","Mapped by official section, syllabus teaching evidence and topic similarity"
"129","Use supplied built-in and library routines","72","Built-in routines and string functions","Mapped by official section, syllabus teaching evidence and topic similarity"
"130","Selection and loop structures","80","Writing complete program fragments","Mapped by official section, syllabus teaching evidence and topic similarity"
"131","Procedures, functions and their interfaces","78","Functions, interfaces and return values","Mapped by official section, syllabus teaching evidence and topic similarity"
"132","Parameters: by value and by reference","77","Procedures and parameter passing","Mapped by official section, syllabus teaching evidence and topic similarity"
"133","Scope, lifetime, and local/global variables","70","Declarations, assignment and input/output","Mapped by official section, syllabus teaching evidence and topic similarity"
"134","Clear and efficient Cambridge pseudocode","79","Clear and efficient Cambridge pseudocode","Mapped by official section, syllabus teaching evidence and topic similarity"
"135","Arithmetic operators, integer division, and MOD","70","Declarations, assignment and input/output","Mapped by official section, syllabus teaching evidence and topic similarity"
"136","Input and output formatting","70","Declarations, assignment and input/output","Mapped by official section, syllabus teaching evidence and topic similarity"
"137","File handling patterns in pseudocode and Java","69","Translating descriptions into Cambridge pseudocode","Mapped by official section, syllabus teaching evidence and topic similarity"
"138","Testing with normal, abnormal, and extreme/boundary data","69","Translating descriptions into Cambridge pseudocode","Mapped by official section, syllabus teaching evidence and topic similarity"
"139","Debugging using traces and breakpoints","69","Translating descriptions into Cambridge pseudocode","Mapped by official section, syllabus teaching evidence and topic similarity"
"140","Robust program design: validation and modularity","80","Writing complete program fragments","Mapped by official section, syllabus teaching evidence and topic similarity"
"141","Converting Java habits into Cambridge pseudocode","69","Translating descriptions into Cambridge pseudocode","Mapped by official section, syllabus teaching evidence and topic similarity"
"142","Section 11 review: writing complete program fragments","80","Writing complete program fragments","Mapped by official section, syllabus teaching evidence and topic similarity"
"143","Lifecycle models, purpose and limitations","81","Program-development lifecycle models","Mapped by official section, syllabus teaching evidence and topic similarity"
"144","Structure charts and the purpose of state-transition diagrams","82","Structure charts and module interfaces","Mapped by official section, syllabus teaching evidence and topic similarity"
"145","Expose, locate and correct program errors","84","Finding and correcting program errors","Mapped by official section, syllabus teaching evidence and topic similarity"
"146","Testing, maintenance and enhancement","85","Testing methods through the development process","Mapped by official section, syllabus teaching evidence and topic similarity"
"147","Section 12 review: software development case study","81","Program-development lifecycle models","Mapped by official section, syllabus teaching evidence and topic similarity"
"148","Paper 2 review: algorithm design and data structures","90","Paper 2 integrated review and pseudocode clinic","Paper 2 review consolidated into L090"
"149","Paper 2 review: programming constructs and file handling","90","Paper 2 integrated review and pseudocode clinic","Paper 2 review consolidated into L090"
"150","Paper 2 timed pseudocode practice","90","Paper 2 integrated review and pseudocode clinic","Paper 2 review consolidated into L090"
"151","Paper 2 mock review and correction clinic","90","Paper 2 integrated review and pseudocode clinic","Paper 2 review consolidated into L090"
