"lessonNumber","lessonKey","unitIndex","syllabusId","unitHeading","leadVisualType","leadVisualTitle","leadVisualRole","coreExplanationRole","methodTitle","methodRole","workedExampleTitle","workedExampleRole","practiceQuestionIds","commandWords","duplicateFindings","repairStatus"
"006","S1-L06","2","S1.11","Compression removes or rewrites repeated information","reviewed-visual","Lossless compression: exact reconstruction","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","Encode and decode a run-length sequence","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L006-01 | V3-Q-L006-03 | V3-006-S1.11-CHECK","Describe | Give | Explain","none","PASS"
"007","S2-L01","1","S2.01+S2.02+S2.03","Networking creates shared access; LAN and WAN describe scope","table","LAN and WAN: describe scope before performance","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","S2-L01-Q1 | S2-L01-Q2","State | Explain","none","PASS"
"007","S2-L01","2","S2.01+S2.02+S2.03","Network models describe who requests and who provides","flow","Client-server request cycle","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","Peer-to-peer exchange","Carry out a genuine calculation, algorithm, operation or physical process.","","Not required.","S2-L01-Q2","Explain","none","PASS"
"007","S2-L01","3","S2.01+S2.02+S2.03","Thin and thick describe where the client work happens","table","Where processing, storage and maintenance sit","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","S2-L01-Q3","Suggest","none","PASS"
"008","S2-L02","1","S2.04+S2.05","The topology is the link pattern","topology-gallery","Count links first; trace the path second","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","S2-L02-Q1 | S2-L02-Q2 | S2-L02-Q3","Identify | Describe | Suggest","none","PASS"
"008","S2-L02","2","S2.04+S2.05","A good choice connects structure to consequence","table","Failure and design trade-offs","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","S2-L02-Q2 | S2-L02-Q3","Describe | Suggest","none","PASS"
"009","S2-L03","1","S2.06","Cloud changes where resources run and who controls the infrastructure","flow","One cloud request","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","S2-L03-Q1 | S2-L03-Q3","Give","none","PASS"
"009","S2-L03","2","S2.06","Cloud benefits and risks must be connected to dependence","table","Claim → mechanism → consequence","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","S2-L03-Q2 | S2-L03-Q3","Explain | Give","none","PASS"
"010","S2-L04","1","S2.07+S2.08","Wired and wireless create different constraints","table","Wired and wireless implications","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","S2-L04-Q2 | S2-L04-Q3","Compare | Suggest","none","PASS"
"010","S2-L04","2","S2.07+S2.08","The carrier determines capacity, attenuation and interference","table","Medium selection matrix","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","Choose a medium","Carry out a genuine calculation, algorithm, operation or physical process.","","Not required.","S2-L04-Q1 | S2-L04-Q2 | S2-L04-Q3","State | Compare | Suggest","none","PASS"
"011","S2-L05","1","S2.09+S2.10+S2.11","Every LAN device has a specific job","flow","One wireless request to a local server","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","S2-L05-Q1 | S2-L05-Q2 | S2-L05-Q4","Draw | Describe | Explain","none","PASS"
"011","S2-L05","2","S2.09+S2.10+S2.11","The router crosses a network boundary","flow","From LAN to another network","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","S2-L05-Q2 | S2-L05-Q4","Describe | Explain","none","PASS"
"011","S2-L05","3","S2.09+S2.10+S2.11","CSMA/CD detects a collision, stops, waits and retries","flow","CSMA/CD timeline","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","S2-L05-Q3","Explain","none","PASS"
"012","S2-L06","1","S2.12","Streaming begins before the complete media file arrives","table","Real-time and on-demand","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","S2-L06-Q1","Define","none","PASS"
"012","S2-L06","2","S2.12","The buffer level is the difference between two rates over time","reservoir","Reservoir analogy: fill rate, stored level and drain rate","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","Worked rate example","Apply the concept to concrete data, state, code or a scenario.","S2-L06-Q2 | S2-L06-Q3","Calculate | Explain","none","PASS"
"013","S2-L07","1","S2.13+S2.14","The internet carries many services; the WWW is one","table","Infrastructure or service?","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","S2-L07-Q1","Explain","none","PASS"
"013","S2-L07","2","S2.13+S2.14","Access infrastructure connects the local router to wider networks","table","Connection route and trade-off","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","From a home device to the internet","Carry out a genuine calculation, algorithm, operation or physical process.","","Not required.","S2-L07-Q2 | S2-L07-Q3","Complete | Suggest","none","PASS"
"014","S2-L08","1","S2.15+S2.16","An IP address identifies a network interface for routing","address-demo","Read version and interface separately","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","S2-L08-Q1","State","none","PASS"
"014","S2-L08","2","S2.15+S2.16","Subnet, public/private and static/dynamic answer different questions","flow","Worked local-or-router decision","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","S2-L08-Q2 | S2-L08-Q3","Explain | Suggest","none","PASS"
"014","S2-L08","3","S2.15+S2.16","DNS resolves the domain; the browser requests the path","url-demo","Break the URL before resolving it","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","DNS and browser sequence","Carry out a genuine calculation, algorithm, operation or physical process.","","Not required.","S2-L08-Q4","Identify","none","PASS"
"015","S3-L01","1","S3.01","The need for input, output, primary storage, secondary storage and removable storage","reviewed-visual","Component roles and examples","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L013-01","Explain","none","PASS"
"015","S3-L01","2","S3.02","Embedded systems and their benefits/drawbacks","reviewed-visual","What is an embedded system?","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L013-02 | V3-Q-L013-03","Identify | Give","none","PASS"
"016","S3-L02","1","S3.03","Describe principal operation of laser printer, 3D printer, microphone, speakers, HDD, flash memory, optical reader/writer, touchscreen and VR headset.","flow","Process · Describe principal operation of laser printer, 3D printer, microphone, speakers, HDD, flash memory, optical reader/writer, touchscreen and VR headset.","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","Trace three different conversions","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L014-01 | V3-Q-L014-02 | V3-Q-L014-03","Describe | Compare","none","PASS"
"017","S3-L03","1","S3.04","Why buffers are used","reviewed-visual","Why drivers, buffers and queues work together","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-015-S3.04-CHECK","Explain","none","PASS"
"017","S3-L03","2","S3.05","RAM and ROM","reviewed-visual","Why RAM changes while ROM remains stable","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L015-01 | V3-015-S3.05-CHECK","Explain","none","PASS"
"017","S3-L03","3","S3.06","Uses of SRAM and DRAM and reasons for each use","table","Visual overview · Uses of SRAM and DRAM and reasons for each use","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L015-01 | V3-Q-L015-03","Explain","none","PASS"
"017","S3-L03","4","S3.07","PROM, EPROM and EEPROM","table","Visual overview · PROM, EPROM and EEPROM","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L015-01 | V3-Q-L015-02","Explain | Compare","none","PASS"
"018","S3-L04","1","S3.08","Monitoring and control; understand sensors, actuators and feedback","reviewed-visual","Control systems use rules and feedback","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L016-01 | V3-Q-L016-02 | V3-Q-L016-03","Compare | State | Identify","none","PASS"
"018","S3-L04","2","S3.09","Temperature, pressure, infrared and sound sensors and appropriate applications","reviewed-visual","Required sensor types and applications","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L016-01 | V3-Q-L016-02 | V3-Q-L016-03 | V3-016-S3.09-CHECK","Compare | State | Identify | Explain","none","PASS"
"019","S3-L05","1","S3.10","Understand NOT, AND, OR, NAND, NOR and XOR; use symbols/functions/truth tables and convert among problem, expression, circuit and truth table.","reviewed-visual","Six symbols, six exact output rules","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","From Boolean requirement to truth table","Carry out a genuine calculation, algorithm, operation or physical process.","Convert a door-alarm rule through four representations","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L017-01 | V3-Q-L017-02 | V3-Q-L017-03 | V3-017-S3.10-CHECK","Construct | Identify | State | Explain","none","PASS"
"020","S3-L06","1","S3.10","Understand NOT, AND, OR, NAND, NOR and XOR; use symbols/functions/truth tables and convert among problem, expression, circuit and truth table.","flow","Process · Understand NOT, AND, OR, NAND, NOR and XOR; use symbols/functions/truth tables and convert among problem, expression, circuit and truth table.","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","Convert a door-alarm rule through four representations","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L018-01 | V3-Q-L018-02 | V3-Q-L018-03 | V3-018-S3.10-CHECK","Construct | Describe | Explain","none","PASS"
"021","S4-L01","1","S4.01","Von Neumann architecture and the stored-program concept","reviewed-visual","Why a CPU divides specialised work","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L019-01","Explain","none","PASS"
"021","S4-L01","2","S4.02","General- and special-purpose registers: PC, MDR, MAR, ACC, IX, CIR and status register","reviewed-visual","ACC and status register: execute-stage evidence","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L019-01 | V3-Q-L019-03 | V3-019-S4.02-CHECK","Explain | State","none","PASS"
"021","S4-L01","3","S4.03","ALU, CU, clock and immediate access store (IAS)","reviewed-visual","How registers, buses and clock stay aligned","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L019-02","Compare","none","PASS"
"022","S4-L02","1","S4.04","Address, data and control buses","reviewed-visual","The three buses","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L020-01 | V3-Q-L020-03","Describe | Explain","none","PASS"
"022","S4-L02","2","S4.05","Processor performance factors: processor type, cores, bus width, clock and cache","reviewed-visual","Bus width and addressable locations","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L020-01 | V3-Q-L020-02 | V3-Q-L020-03","Describe | State | Explain","none","PASS"
"022","S4-L02","3","S4.06","USB, HDMI and VGA ports","cards","Visual overview · USB, HDMI and VGA ports","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-020-S4.06-CHECK","Explain","none","PASS"
"023","S4-L03","1","S4.07","The fetch-execute cycle using register transfer notation","reviewed-visual","Registers and buses: the FDE cycle vocabulary","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L021-01 | V3-Q-L021-02 | V3-Q-L021-03","Describe | Write | State","none","PASS"
"024","S4-L04","1","S4.08","Causes/applications of interrupts, ISR, detection and handling","reviewed-visual","The interrupt handling cycle","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L022-01 | V3-Q-L022-02 | V3-Q-L022-03 | V3-022-S4.08-CHECK","Describe | State | Explain","none","PASS"
"025","S4-L05","1","S4.09","Assembly language and machine code","reviewed-visual","Machine code is binary instructions for the CPU","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L023-01 | V3-Q-L023-02 | V3-Q-L023-03","Explain | Identify","none","PASS"
"025","S4-L05","2","S4.10","And apply the stages of a two-pass assembler","cards","Visual overview · And apply the stages of a two-pass assembler","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L023-01 | V3-Q-L023-02 | V3-Q-L023-03","Explain | Identify","none","PASS"
"026","S4-L06","1","S4.11","Trace a simple assembly-language program","cards","Visual overview · Trace a simple assembly-language program","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-024-S4.11-CHECK","Explain","none","PASS"
"026","S4-L06","2","S4.12","Instruction groups: data movement, input/output, arithmetic, conditional/unconditional branch and compare","reviewed-visual","Instruction groups: data movement, I/O, arithmetic, control and compare","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L024-01 | V3-Q-L024-02 | V3-024-S4.12-CHECK","Describe | Compare | Explain","none","PASS"
"026","S4-L06","3","S4.13","Use the specified instruction set: LDM, LDD, LDI, LDX, LDR, MOV, STO, ADD, SUB, INC, DEC, JMP, CMP, CMI, JPE, JPN, IN, OUT and END.","reviewed-visual","Official LDR, CMI, JPE and JPN semantics","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","Trace load, arithmetic, comparison and output","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L024-02 | V3-Q-L024-03 | V3-024-S4.13-CHECK","Compare | State | Complete","none","PASS"
"026","S4-L06","4","S4.14","Immediate, direct, indirect, indexed and relative addressing","reviewed-visual","Indexed addressing and arrays","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L024-02 | V3-024-S4.14-CHECK","Compare | Explain","none","PASS"
"027","S4-L07","1","S4.15","AND, OR, XOR, LSL and LSR for bit manipulation, including testing/setting bits with masks","reviewed-visual","Binary shifts: logical, arithmetic, cyclic","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L025-01 | V3-Q-L025-02 | V3-Q-L025-03 | V3-025-S4.15-CHECK","Explain | Identify | State | Complete","none","PASS"
"028","S5-L01","1","S5.01","Why an operating system is required and its memory, file, security, hardware and process management roles","reviewed-visual","Operating system: the main coordinator","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L026-01 | V3-Q-L026-02 | V3-Q-L026-03","Explain | Identify","none","PASS"
"029","S5-L02","1","S5.02","Disk formatter, antivirus, defragmentation, disk analysis/repair, compression and backup utilities","reviewed-visual","Choose the required utility by its operation","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L027-01 | V3-Q-L027-02 | V3-Q-L027-03 | V3-027-S5.02-CHECK","Explain | Identify","none","PASS"
"029","S5-L02","2","S5.03","Libraries and benefits of dynamically linked library files","reviewed-visual","Libraries provide reusable routines and modules","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L027-01 | V3-Q-L027-03","Explain","none","PASS"
"030","S5-L03","1","S5.04","Why assembler, compiler and interpreter are needed","reviewed-visual","An assembler translates assembly language into machine code","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L028-01 | V3-Q-L028-02 | V3-Q-L028-03","Compare | Explain | Identify","none","PASS"
"031","S5-L04","1","S5.05","Compare compiler and interpreter advantages/disadvantages and justify use","reviewed-visual","A compiler translates the whole high-level program before execution","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L029-01 | V3-Q-L029-02","Give | Explain","none","PASS"
"031","S5-L04","2","S5.06","That Java is partly compiled and partly interpreted","cards","Visual overview · That Java is partly compiled and partly interpreted","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L029-01 | V3-Q-L029-02 | V3-Q-L029-03","Give | Explain","none","PASS"
"032","S5-L05","1","S5.07","IDE features: context-sensitive prompts, dynamic syntax checking, prettyprint, expand/collapse, single-step, breakpoints, variable/expression inspection and report window","reviewed-visual","A breakpoint pauses execution at a chosen line","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L030-01 | V3-Q-L030-02 | V3-Q-L030-03 | V3-030-S5.07-CHECK","Identify | Explain","none","PASS"
"033","S6-L01","1","S6.01","Data security, privacy and integrity","reviewed-visual","Integrity protects data from unauthorised or accidental alteration","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L031-01 | V3-Q-L031-02 | V3-Q-L031-03","Compare | Explain","none","PASS"
"033","S6-L01","2","S6.02","The need for data and computer-system security","reviewed-visual","Use the risk chain before naming a control","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L031-01 | V3-Q-L031-02 | V3-Q-L031-03","Compare | Explain","none","PASS"
"034","S6-L02","1","S6.03","User accounts/passwords, digital signatures, biometrics, firewall, antivirus, anti-spyware and encryption as security measures","reviewed-visual","Biometrics: convenient identity evidence from physical or behavioural features","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L033-01 | V3-Q-L033-02 | V3-Q-L033-03 | V3-033-S6.03-CHECK","Describe | State | Explain","none","PASS"
"035","S6-L03","1","S6.04","Virus, spyware, hackers, phishing and pharming threats","reviewed-visual","Spyware secretly monitors activity or collects data","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L032-01 | V3-Q-L032-02 | V3-Q-L032-03 | V3-032-S6.04-CHECK","Describe | State | Explain","none","PASS"
"035","S6-L03","2","S6.05","Restriction of access to data and computer systems as a risk-reduction method","reviewed-visual","Access control decides what authenticated users may do","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L032-01","Describe","none","PASS"
"036","S6-L04","1","S6.06","How encryption and access rights protect data","reviewed-visual","One control can support more than one goal, but not every goal","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L033-01 | V3-Q-L033-02 | V3-Q-L033-03","Describe | State | Explain","none","PASS"
"037","S6-L05","1","S6.07","Describe how data validation and data verification help protect the integrity of data; describe and use methods of data validation.","reviewed-visual","Common validation checks","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L034-01 | V3-Q-L034-02 | V3-Q-L034-03","Explain | Draw","none","PASS"
"037","S6-L05","2","S6.08","Verification: visual and double entry; parity byte/block and checksum","reviewed-visual","Verification checks accuracy against the source","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L034-01 | V3-Q-L034-03 | V3-034-S6.08-CHECK","Explain","none","PASS"
"038","S7-L01","1","S7.01","The need for and purpose of ethics as a computing professional","reviewed-visual","Ethics is about responsible decision-making","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L035-01 | V3-Q-L035-02 | V3-Q-L035-03","Identify | Evaluate | Explain","none","PASS"
"038","S7-L01","2","S7.02","The importance of joining a professional ethical body, including BCS and IEEE","table","Visual overview · The importance of joining a professional ethical body, including BCS and IEEE","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L035-01 | V3-Q-L035-02 | V3-Q-L035-03","Identify | Evaluate | Explain","none","PASS"
"039","S7-L02","1","S7.03","Explain the need to act ethically and the impact of acting ethically or unethically for a given situation.","reviewed-visual","Ethical answers start with stakeholders","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L036-01 | V3-Q-L036-02 | V3-Q-L036-03","Identify | State | Explain","none","PASS"
"040","S7-L03","1","S7.04","The need for copyright legislation for software","reviewed-visual","Copyright protects expression, including software code","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L037-01 | V3-Q-L037-02","Explain","none","PASS"
"040","S7-L03","2","S7.05","Different software licensing types and justify a licence for a given situation","reviewed-visual","A licence grants permission under conditions","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L037-01 | V3-Q-L037-02 | V3-Q-L037-03 | V3-037-S7.05-CHECK","Explain | Identify","none","PASS"
"041","S7-L04","1","S7.06","Artificial intelligence, its applications and its social, economic and environmental impacts","reviewed-visual","Environmental impacts include energy use and resource consumption","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L038-01 | V3-Q-L038-02 | V3-Q-L038-03 | V3-038-S7.06-CHECK","Identify | Evaluate | Give | Explain","none","PASS"
"042","S8-L01","1","S8.01","Limitations of file-based systems and how relational databases address them","reviewed-visual","Flat-file vs relational comparison","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L039-01 | V3-Q-L039-02 | V3-Q-L039-03","Explain | Write | Identify","none","PASS"
"042","S8-L01","2","S8.02","Entity/table, record/tuple, field/attribute, primary/candidate/secondary/foreign key, relationships, referential integrity and indexing","reviewed-visual","Referential integrity","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L039-01 | V3-Q-L039-02 | V3-Q-L039-03 | V3-039-S8.02-CHECK","Explain | Write | Identify","none","PASS"
"043","S8-L02","1","S8.03","Entity-relationship diagrams","reviewed-visual","Cardinality describes how many records may be linked","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L040-01 | V3-Q-L040-02 | V3-Q-L040-03","Write | Explain","none","PASS"
"043","S8-L02","2","S8.04","1NF, 2NF and 3NF; explain 3NF and produce a normalised design","reviewed-visual","How normal forms remove dependency problems","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L040-01 | V3-Q-L040-02 | V3-Q-L040-03 | V3-040-S8.04-CHECK","Write | Explain","none","PASS"
