surface,id,source,status,independent_review_status,evidence_location,content_hash,reviewer_id,review_round,official_basis,review_note
lesson-html,L015,web/lesson-015/index.html,Approved,IndependentlyReviewed,web/lesson-015/index.html#content,56d0e43893b6dff086316c7daef89741df102caa10ca9d7d25afa90ef206d2fc,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L016,lessons/016-section-1-review-under-exam-timing.md,Approved,IndependentlyReviewed,lessons/016-section-1-review-under-exam-timing.md#content,f7a2c035fdfd567bf321a4a7fd57400384e27d6cf1bf114ff67152281313175c,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L016,web/lesson-016/index.html,Approved,IndependentlyReviewed,web/lesson-016/index.html#content,8ff77e418f82e40be66cf99a39ae47b0ce88a2a8e352f58d0edb6966458e8dca,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L017,lessons/017-network-purpose-and-client-server-models.md,Approved,IndependentlyReviewed,lessons/017-network-purpose-and-client-server-models.md#content,5bfd08c74182993ad8b9c2bd3f0bb0ddb82d7e30612c6c31e73997aabee9bf12,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L017,web/lesson-017/index.html,Approved,IndependentlyReviewed,web/lesson-017/index.html#content,bde9d9c8689cdcee10b74a18d79bb673e9cb14e25c6c9a552544ab57a3573aeb,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L018,lessons/018-bus-star-mesh-and-hybrid-topologies.md,Approved,IndependentlyReviewed,lessons/018-bus-star-mesh-and-hybrid-topologies.md#content,ffcafb2612dbbfd9f105d0dd88aed6608653ec2d8f5a02f3258d2809b515d5b3,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L018,web/lesson-018/index.html,Approved,IndependentlyReviewed,web/lesson-018/index.html#content,a425de66109df7214d0a7bb1cb6b94e9d54de60c0472dcea7b6e03afa15f48ed,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L019,lessons/019-packet-transmission-between-two-hosts-in-each-required-topology.md,Approved,IndependentlyReviewed,lessons/019-packet-transmission-between-two-hosts-in-each-required-topology.md#content,1c2909b581a6fa8e99038223034df60bcc0f3f61d7c46d78cfeae984a4b54524,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L019,web/lesson-019/index.html,Approved,IndependentlyReviewed,web/lesson-019/index.html#content,5d44a852e97872895c83f41bd237ebb82bd4ea90304e7de335f4284ea3a5cce9,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L020,lessons/020-cloud-wired-and-wireless-networking.md,Approved,IndependentlyReviewed,lessons/020-cloud-wired-and-wireless-networking.md#content,4c813ae92411a48cfc5bed41f985d68cf1ef1183178f76da07b6a3fb7c6718fe,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L020,web/lesson-020/index.html,Approved,IndependentlyReviewed,web/lesson-020/index.html#content,0824cef5386fe21c291b38b67681196c392f559c15f3f53559ea3a4bb7a8504b,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L021,lessons/021-lan-hardware-ethernet-streaming-the-internet-ip-and-url.md,Approved,IndependentlyReviewed,lessons/021-lan-hardware-ethernet-streaming-the-internet-ip-and-url.md#content,f2ffa62b33eb4b1b1680e2dc17557a1edc2515ed8f6a840b49d1b58e24ce565e,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L021,web/lesson-021/index.html,Approved,IndependentlyReviewed,web/lesson-021/index.html#content,6ee1aa37702b0f63f7260e33475972eecbc21f276f58e94870f5f124e555d9d9,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L022,lessons/022-http-https-ftp-smtp-pop3-and-imap-in-context.md,Approved,IndependentlyReviewed,lessons/022-http-https-ftp-smtp-pop3-and-imap-in-context.md#content,3450074740fd23561a242f8947f5bffbdc71233f57f3abc2adfb04d93f783262,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L022,web/lesson-022/index.html,Approved,IndependentlyReviewed,web/lesson-022/index.html#content,68f706e7212b0d51d460d7812d633867ce4dee3d276a0b74fcecb831e6736025,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L023,lessons/023-wired-and-wireless-transmission-media.md,Approved,IndependentlyReviewed,lessons/023-wired-and-wireless-transmission-media.md#content,f40e325a9f78afd2be173b4c3d52c1e3d8dcb1d7036aa51137f75507be26bad1,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L023,web/lesson-023/index.html,Approved,IndependentlyReviewed,web/lesson-023/index.html#content,aecfc32e3de5dee3f4187b50565d5515d457222b557a0dc6a1daa2771aebf119,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L024,lessons/024-network-hardware-switches-routers-access-points-and-gateways.md,Approved,IndependentlyReviewed,lessons/024-network-hardware-switches-routers-access-points-and-gateways.md#content,3a7a9226324c148f04edca7d29b69d408c8382002e03aae81dca70c24f2ffc6b,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L024,web/lesson-024/index.html,Approved,IndependentlyReviewed,web/lesson-024/index.html#content,44297675a0bbe57c72426c3e42d917b0d125f3b064ce05b912ad0a73a436316e,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L025,lessons/025-internet-intranet-extranet-and-cloud-services.md,Approved,IndependentlyReviewed,lessons/025-internet-intranet-extranet-and-cloud-services.md#content,a1f5a28b7840140d6030405e18ed9e94252e312fbb86d4295233ccd3d6fca7ef,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L025,web/lesson-025/index.html,Approved,IndependentlyReviewed,web/lesson-025/index.html#content,d3fd1c7a532fd497382dc4542e17041d2297190fd3769af3da147b07de229e31,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L026,lessons/026-network-performance-latency-bandwidth-and-congestion.md,Approved,IndependentlyReviewed,lessons/026-network-performance-latency-bandwidth-and-congestion.md#content,8730aaf143b70efdc4f1740dcae8079508480bc9432ccc14c3e1effdcb46ddb3,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L026,web/lesson-026/index.html,Approved,IndependentlyReviewed,web/lesson-026/index.html#content,31c0b4b3d47cefb24f32bcb22cd943c8c35a96af75c579802aedddf64e724254,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L027,lessons/027-section-2-review-explaining-communication-with-precision.md,Approved,IndependentlyReviewed,lessons/027-section-2-review-explaining-communication-with-precision.md#content,59402081f332eefbf6e9f5289cd909e93059cf8c65a5232974a2486f2a4f982c,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L027,web/lesson-027/index.html,Approved,IndependentlyReviewed,web/lesson-027/index.html#content,2764d2adaf78cfe5fa0609b8e30550b9ef1dc7b26d9e91d797d462b3d56cb2ed,stage4-surface-review,R4,syllabus:p17,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L028,lessons/028-why-computer-systems-need-input-output-and-storage.md,Approved,IndependentlyReviewed,lessons/028-why-computer-systems-need-input-output-and-storage.md#content,da02956e3f93daa601f8ad8087f09caf394c1198ca49d223c678ed46e4c17b7b,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L028,web/lesson-028/index.html,Approved,IndependentlyReviewed,web/lesson-028/index.html#content,1afee0b655e1f18c72feeb19dfbb9c8036e77b3cf9424c4b7cbbe5846b616ce8,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L029,lessons/029-embedded-systems-purpose-benefits-and-drawbacks.md,Approved,IndependentlyReviewed,lessons/029-embedded-systems-purpose-benefits-and-drawbacks.md#content,6987e217b1e19953592031ccbfd460fb0622c167a9c95f09798f8c989e93a4b0,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L029,web/lesson-029/index.html,Approved,IndependentlyReviewed,web/lesson-029/index.html#content,1abf39967569c683a34ec4619ee2e6d023d7eb72a3c1b038e9cdb460d2c586df,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L030,lessons/030-microphone-touchscreen-and-vr-headset-operation.md,Approved,IndependentlyReviewed,lessons/030-microphone-touchscreen-and-vr-headset-operation.md#content,34ce29d4509f331f46f9827eaa2595a8723c8367c08de632861389ad173288b7,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L030,web/lesson-030/index.html,Approved,IndependentlyReviewed,web/lesson-030/index.html#content,78da84304c2b7a8f6e0eee0c0c6f66a980dbc3b320c9c26d441da6939d07c8e3,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L031,lessons/031-output-storage-devices-and-primary-memory.md,Approved,IndependentlyReviewed,lessons/031-output-storage-devices-and-primary-memory.md#content,9cbb5693f7c62719f9e12452f3ef3449384031bafd27bf7c3edf787180087ffa,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L031,web/lesson-031/index.html,Approved,IndependentlyReviewed,web/lesson-031/index.html#content,85940b921bf48e59e9d0195d559b5a8d637285629a8e9756a7281ba9afa9e3b0,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L032,lessons/032-monitoring-control-feedback-and-required-sensors.md,Approved,IndependentlyReviewed,lessons/032-monitoring-control-feedback-and-required-sensors.md#content,f11ec716e85219ca93c5183766edad4f18e080a4f80f134a0cd25427ac8e1b7e,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L032,web/lesson-032/index.html,Approved,IndependentlyReviewed,web/lesson-032/index.html#content,b3446733fda1c33ebe1f7973c63c1fb1c6f08edaac405597daf99c1b7a886c64,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L033,lessons/033-logic-gate-symbols-functions-and-representation-conversions.md,Approved,IndependentlyReviewed,lessons/033-logic-gate-symbols-functions-and-representation-conversions.md#content,0b9e013e08ec11851855be59e7af19b475bc5c6973a15a8fdd39e6c4a2c74378,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L033,web/lesson-033/index.html,Approved,IndependentlyReviewed,web/lesson-033/index.html#content,bb7a8ad09a95239f3fb1cd825f80c8db05ea5431f9111c427d68344070c4dac2,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L034,lessons/034-embedded-systems-and-microcontrollers.md,Approved,IndependentlyReviewed,lessons/034-embedded-systems-and-microcontrollers.md#content,df155b9c09cd8aaf30a20d1f62857e0c422bacdb76aa87052bff5ebb09f8cf5f,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L034,web/lesson-034/index.html,Approved,IndependentlyReviewed,web/lesson-034/index.html#content,df08199d47ec4423811fdfd961fcfb08f9dcf66cb8833d9d17757279ba591245,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L035,lessons/035-sensors-actuators-and-control-systems.md,Approved,IndependentlyReviewed,lessons/035-sensors-actuators-and-control-systems.md#content,f833498a7d9a37075adbd608dda64894243a7ef7fe79513d9891a51c84e6ec3b,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L035,web/lesson-035/index.html,Approved,IndependentlyReviewed,web/lesson-035/index.html#content,8c55dea800653ea1c50163ab225e3a7f59d52f8a388aff9c3c44404fc43a7348,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L036,lessons/036-logic-gates-not-and-or-nand-nor-xor.md,Approved,IndependentlyReviewed,lessons/036-logic-gates-not-and-or-nand-nor-xor.md#content,d0eca54821e603b3fbdd501d160ecf35ac42706ddae825b2390b8b21df1fc47a,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L036,web/lesson-036/index.html,Approved,IndependentlyReviewed,web/lesson-036/index.html#content,3022e8c6feb68c45e7abb7c7426e81271e879362a3995fc575515bbe4069a69e,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L037,lessons/037-truth-tables-and-boolean-expressions.md,Approved,IndependentlyReviewed,lessons/037-truth-tables-and-boolean-expressions.md#content,9664520a7d2412da542d4cfd44caeb408918708cf1120265543cf784be0b3c35,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L037,web/lesson-037/index.html,Approved,IndependentlyReviewed,web/lesson-037/index.html#content,3f0b9265cf562db4e61d3eb6a01c500a6582720deeea545aed09aca3a77cc748,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L038,lessons/038-building-logic-circuits-from-requirements.md,Approved,IndependentlyReviewed,lessons/038-building-logic-circuits-from-requirements.md#content,9cf8ee7221558042aeaac9a2a82d43cd455fadf9cc0af4a7795e8fc60f23d665,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L038,web/lesson-038/index.html,Approved,IndependentlyReviewed,web/lesson-038/index.html#content,0b2bfb1017ebeac0ce78fdab5ecf4202951356b79ab517ec2c4014049e0b115b,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L039,lessons/039-hardware-selection-for-different-users.md,Approved,IndependentlyReviewed,lessons/039-hardware-selection-for-different-users.md#content,459596011a9667757f5eaf326f47d9cebca7ad68338a006128aef93a65792db0,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L039,web/lesson-039/index.html,Approved,IndependentlyReviewed,web/lesson-039/index.html#content,5eabb380dabcd54fd0fca3aba67fa3d959556437590ed85256626596592e110c,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L040,lessons/040-environmental-and-reliability-considerations-in-hardware.md,Approved,IndependentlyReviewed,lessons/040-environmental-and-reliability-considerations-in-hardware.md#content,17d412c9c66e1c1199c22c362ec19a835a9175b4530b6775bd7d734b0ca3cd33,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L040,web/lesson-040/index.html,Approved,IndependentlyReviewed,web/lesson-040/index.html#content,dbc40fe6c52324501599a1193b037c78ce98eb3411232cc05922873ba67c3cd2,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L041,lessons/041-section-3-review-compare-justify-calculate.md,Approved,IndependentlyReviewed,lessons/041-section-3-review-compare-justify-calculate.md#content,54154538085fd57a95d404863e147dc60983a9c5107d572d0c51e98a4a6e1f67,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L041,web/lesson-041/index.html,Approved,IndependentlyReviewed,web/lesson-041/index.html#content,36b4d0f338fdd1c455fb30feadd8282c6eeb9c1e666f8e20420b723991c1b4df,stage4-surface-review,R4,syllabus:p18,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L042,lessons/042-von-neumann-architecture-cpu-components-and-registers.md,Approved,IndependentlyReviewed,lessons/042-von-neumann-architecture-cpu-components-and-registers.md#content,cae6228a70b780d49e207d90d915470b487aa4e19f5750cce70cc08118a5f28a,stage4-surface-review,R4,syllabus:p22,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L042,web/lesson-042/index.html,Approved,IndependentlyReviewed,web/lesson-042/index.html#content,a3097d2a7b2d45071d35558ee4768eb682fa98985786cb3c45a6d28089dc512a,stage4-surface-review,R4,syllabus:p22,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L043,lessons/043-system-buses-ports-and-processor-performance.md,Approved,IndependentlyReviewed,lessons/043-system-buses-ports-and-processor-performance.md#content,54155169d4e230b84a0622e665cec08ad68d51e3bd712badf63988f1bbd5782c,stage4-surface-review,R4,syllabus:p22,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L043,web/lesson-043/index.html,Approved,IndependentlyReviewed,web/lesson-043/index.html#content,dc1ea939b6808d0bb41004038df5198722486af20fa75a44680afa24d25a8b25,stage4-surface-review,R4,syllabus:p22,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L044,lessons/044-register-transfer-notation-for-the-fetch-decode-execute-cycle.md,Approved,IndependentlyReviewed,lessons/044-register-transfer-notation-for-the-fetch-decode-execute-cycle.md#content,80ff4811e003b3d977772d736d10970bc01a47354e7094d844913be71fb447c7,stage4-surface-review,R4,syllabus:p22,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L044,web/lesson-044/index.html,Approved,IndependentlyReviewed,web/lesson-044/index.html#content,93b31d3720a473c7f7ec7619b0a66f99f4b692e05e1fca3fdea2979b5eddbcfb,stage4-surface-review,R4,syllabus:p22,Item-specific terminology and prohibited-wording checks passed against the current content hash.
