"lesson","section","syllabus_id","severity","confidence","atomic_objectives","visible_evidence","hidden_evidence","worked_example","practice_coverage","rendered_risk","finding","remediation"
"007","2","S2.01","P1","high","networking devices; benefits; LAN; WAN; limited area; large area","3/6 objective groups; 1 visual(s)","networking devices; WAN; large area","present","5/6 objective groups","single visual","WAN/device purposes are hidden while the visible mechanism is generic.","R1: teach LAN/WAN scope, ownership and device benefit through one network scenario."
"007","2","S2.02","P1","high","client-server; peer-to-peer; clients request; servers provide; benefits; drawbacks; justify","6/7 objective groups; 1 visual(s)","justification","present","4/7 objective groups","single visual","Comparison exists but scenario justification is not visibly modelled.","R1+R3: add a factor-by-factor model comparison and a mapped scenario-choice question."
"007","2","S2.03","P1","high","thin client; thick client; server processing; local processing","4/4 objective groups; 0 visual(s)","none","present","1/4 objective groups","no visual","Practice covers only one of four client objectives.","R1+R3: trace processing/storage locations for both clients and replace an unrelated question."
"008","2","S2.04","P2","high","bus topology; star topology; mesh topology; hybrid topology","4/4 objective groups; 1 visual(s)","none","present","4/4 objective groups","single visual","Facts and practice are present but the mechanism card remains generic.","R1: replace generic steps with link/failure paths for each topology."
"008","2","S2.05","P1","high","between two hosts; bus path; central switch; alternative routes; hybrid; justify","4/6 objective groups; 1 visual(s)","host-to-host; bus path","present","4/6 objective groups","single visual","Required packet paths are partly hidden.","R1: show host-to-host packet paths in bus, star, mesh and hybrid networks before justification."
"009","2","S2.06","P2","high","public cloud; private cloud; one-organisation ownership","3/3 objective groups; 1 visual(s)","none","truncated","3/3 objective groups","single visual","Core teaching is present but the worked example is truncated.","R2: preserve full public/private cloud scenarios as structured examples."
"009","2","S2.07","P1","high","wired network; wireless network; cable; radio; implications","5/5 objective groups; 1 visual(s)","none","truncated","1/5 objective groups","single visual","Practice covers only one comparison objective and the example is truncated.","R2+R3: preserve the comparison and add a mapped wired/wireless scenario question."
"009","2","S2.08","P2","high","copper; fibre optic; radio; WiFi; microwave; satellite","6/6 objective groups; 2 visual(s)","none","truncated","5/6 objective groups","carousel 2","Media coverage is strong but the selection example is truncated.","R2+R4: store the media-selection example structurally and signpost both visuals."
"010","2","S2.09","P1","high","switch; server; NIC/WNIC; WAP; cables; bridge; repeater","7/7 objective groups; 1 visual(s)","none","dropped after headings","2/7 objective groups","single visual","The worked explanation is dropped and practice covers fewer than half of the devices.","R2+R3: restore the end-to-end LAN trace and assess the omitted device roles."
"010","2","S2.10","P2","high","router; different networks; forwarding; IP address; routing information","5/5 objective groups; 1 visual(s)","none","dropped after headings","4/5 objective groups","single visual","Router facts are present but the shared worked explanation is dropped.","R2: restore the packet-forwarding explanation as structured steps."
"010","2","S2.11","P1","high","Ethernet; CSMA/CD; carrier sense; collision; random backoff; retry","4/6 objective groups; 0 visual(s)","random backoff; retry","dropped after headings","6/6 objective groups","no visual","Backoff/retry teaching and the worked collision sequence are not default-visible.","R1+R2: expose the full sense-transmit-detect-jam-backoff-retry timeline."
"011","2","S2.12","P1","high","bit streaming; real-time; on-demand; bit rate; broadband speed; buffer","5/6 objective groups; 0 visual(s)","on-demand","dropped after headings","2/6 objective groups","no visual","On-demand teaching is hidden and practice coverage is low.","R1+R2+R3: restore the buffer/rate example and add real-time/on-demand practice."
"011","2","S2.13","P1","high","WWW; internet; web is one service","2/3 objective groups; 0 visual(s)","WWW distinction","dropped after headings","2/3 objective groups","no visual","The internet/WWW distinction is partly hidden and loses its worked example.","R1+R2: teach infrastructure versus service with request-path examples."
"011","2","S2.14","P0","high","modem; PSTN; dedicated line; cellular network","5/6 objective groups; 0 visual(s)","modem detail","dropped after headings","0/6 objective groups","no visual","No question assesses modem, PSTN, dedicated line or cellular access.","R1+R2+R3: teach access signal paths and replace an unrelated question with a comparison."
"012","2","S2.15","P0","high","IPv4; 32-bit; IPv6; 128-bit; subnetting; interface; public; private; static; dynamic; security limit","3/11 objective groups; 0 visual(s)","IPv4/IPv6; interface; private; security limit","dropped after headings","2/11 objective groups","no visual","IP labels are paired with URL/PSTN clauses; most objectives are hidden or absent.","R1+R3: manually author IP teaching, remove cross-topic clauses and add aligned questions."
"012","2","S2.16","P0","high","URL; scheme; domain; path; DNS resolution; IP address; WWW resource","6/7 objective groups; 2 visual(s)","none","dropped after headings","1/7 objective groups","carousel 2","URL/DNS has no aligned practice and shares a dropped multi-topic example.","R1+R2+R3: add a full URL-to-DNS-to-server trace and a dedicated question."
"013","3","S3.01","P1","high","input; output; primary memory; secondary storage; removable storage","4/5 objective groups; 3 visual(s)","removable storage","truncated","5/5 objective groups","carousel 3","Removable storage is hidden and the integrated example is truncated.","R1+R2+R4: promote removable storage and preserve the complete system data flow."
"013","3","S3.02","P2","high","embedded system; dedicated function","2/2 objective groups; 1 visual(s)","none","truncated","2/2 objective groups","single visual","Core content is present but the embedded-system example is truncated.","R2: retain the full scenario, benefits and drawbacks as structured steps."
"014","3","S3.03","P0","high","laser printer; 3D printer; microphone; speaker; HDD; flash; optical drive; touchscreen; VR","5/9 objective groups; 0 visual(s)","laser; optical; touchscreen; VR","present","3/9 objective groups","no visual","Nine device mechanisms are reduced to a partial list; four are hidden-only.","R1+R3: create nine input-mechanism-output rows and assess omitted devices."
"015","3","S3.04","P2","high","buffer; temporary storage; rate mismatch","3/3 objective groups; 1 visual(s)","none","present","3/3 objective groups","single visual","Core content is present but the mechanism labels are generic.","R1: show producer-buffer-consumer state changes over time."
"015","3","S3.05","P2","high","RAM; ROM","2/2 objective groups; 1 visual(s)","none","present","2/2 objective groups","single visual","Core comparison is present but not organised as an access/volatility mechanism.","R1: add power-loss and read/write state examples."
"015","3","S3.06","P2","high","SRAM; DRAM; cache; main memory","4/4 objective groups; 0 visual(s)","none","present","3/4 objective groups","no visual","Facts are present but the use decision is generic.","R1: connect cell design, refresh, speed, density and use in one comparison."
"015","3","S3.07","P2","high","PROM; EPROM; EEPROM","3/3 objective groups; 0 visual(s)","none","present","3/3 objective groups","no visual","Programming/erasure distinctions are present but generic.","R1: add an explicit program/erase/reuse table and scenario choice."
"016","3","S3.08","P1","high","monitoring; control; sensors; actuators; feedback","4/5 objective groups; 1 visual(s)","sensor role","present","3/5 objective groups","single visual","The monitoring/control loop is incomplete in default-visible teaching.","R1: show separate monitoring and closed-loop control signal paths."
"016","3","S3.09","P2","high","temperature; pressure; infrared; sound sensors","4/4 objective groups; 1 visual(s)","none","present","2/4 objective groups","single visual","Required sensors are named but practice samples only half.","R1+R3: add mechanism-to-application choices for every sensor type."
"017","3","S3.10","P1","high","NOT; NAND; NOR; XOR; symbol; function; truth table; statement; expression; circuit; two inputs","6/11 objective groups; 1 visual(s)","function; truth table; statement; expression; circuit","truncated","9/11 objective groups","single visual","Conversion objectives are hidden and the example is truncated.","R1+R2: expose every gate function and preserve a full four-representation conversion."
"018","3","S3.10","P0","high","NOT; NAND; NOR; XOR; symbol; function; truth table; statement; expression; circuit; two inputs","0/11 objective groups; 0 visual(s)","all 11 objectives","truncated","11/11 objective groups","no visual","Visible card is requirement restatement; teaching is hidden or answer-dependent.","R1+R2: teach six gates and a full statement-expression-circuit-truth-table conversion."
"019","4","S4.01","P1","high","Von Neumann; architecture; stored-program concept","4/5 objective groups; 1 visual(s)","stored-program consequence","truncated","4/5 objective groups","single visual","Stored-program consequence is hidden and the example is truncated.","R1+R2: promote shared instruction/data memory and preserve the full execution scenario."
"019","4","S4.02","P1","high","general-purpose; special-purpose; PC; MDR; MAR; ACC; IX; CIR; status","9/11 objective groups; 1 visual(s)","register categories","truncated","11/11 objective groups","single visual","Register categories are hidden and the trace is truncated.","R1+R2: classify registers visibly and preserve complete state transitions."
"019","4","S4.03","P2","high","ALU; CU; clock; IAS","7/7 objective groups; 1 visual(s)","none","truncated","6/7 objective groups","single visual","Core roles are present but the integrated example is truncated.","R2: retain the complete component-coordination trace."
"020","4","S4.04","P2","high","address bus; data bus; control bus","3/3 objective groups; 1 visual(s)","none","present","3/3 objective groups","single visual","Roles are present but the mechanism remains generic.","R1: trace one read and one write across all three buses."
"020","4","S4.05","P1","high","processor type; cores; bus width; clock; cache","3/5 objective groups; 1 visual(s)","processor type; cores","present","5/5 objective groups","single visual","Two performance factors are hidden-only.","R1: promote each factor and connect it to a measurable bottleneck."
"020","4","S4.06","P2","high","USB; HDMI; VGA; ports","4/4 objective groups; 0 visual(s)","none","present","3/4 objective groups","no visual","Port roles are present but no connector/signal scenario is developed.","R1: map each port to data type, direction and suitable peripheral."
"021","4","S4.07","P1","high","fetch-execute cycle; register-transfer notation","1/2 objective groups; 1 visual(s)","complete cycle","present","1/2 objective groups","single visual","The complete cycle is not default-visible.","R1: show ordered register transfers for fetch, decode and execute."
"022","4","S4.08","P1","high","causes; applications; interrupt; ISR; detection; handling","4/6 objective groups; 1 visual(s)","causes; applications","truncated","3/6 objective groups","single visual","Causes/applications are hidden and handling is truncated.","R1+R2+R3: expose causes and preserve save-ISR-restore chronology with aligned practice."
"023","4","S4.09","P1","high","assembly language; machine code; relationship","3/4 objective groups; 1 visual(s)","language relationship","present","4/4 objective groups","single visual","The relationship is partly hidden and mixed with assembler stages.","R1: separate symbolic instruction, opcode and translation examples."
"023","4","S4.10","P1","high","pass stages; two-pass assembler; symbol table","2/3 objective groups; 0 visual(s)","stage detail","present","1/3 objective groups","no visual","Stage detail is hidden and practice covers one objective group.","R1+R3: teach pass 1/table/pass 2/error flow and add a mapped trace question."
"024","4","S4.11","P2","high","trace; assembly-language program","2/2 objective groups; 0 visual(s)","none","truncated","1/2 objective groups","no visual","Trace intent is present but the worked trace is truncated.","R2+R3: store a full instruction-by-instruction state table and assess tracing."
"024","4","S4.12","P2","high","data movement; input/output; arithmetic; conditional branch; unconditional branch; compare","6/6 objective groups; 1 visual(s)","none","truncated","6/6 objective groups","single visual","Groups are covered but the worked example is truncated.","R2: preserve representative instructions and effects for all groups."
"024","4","S4.13","P0","high","LDM; LDD; LDI; LDX; LDR #n; MOV; STO; ADD; SUB; INC; DEC; JMP; CMP; CMI; JPE; JPN; IN; OUT; END","11/19 objective groups; 1 visual(s)","SUB; INC; DEC; JMP; CMP; IN; END","truncated","7/19 objective groups","single visual","Instruction semantics and practice are incomplete; seven groups are hidden-only.","R1+R2+R3: add a semantic table, register/memory trace and questions for omitted mnemonics."
"024","4","S4.14","P2","high","immediate; direct; indirect; indexed; relative addressing","6/6 objective groups; 1 visual(s)","none","truncated","6/6 objective groups","single visual","Addressing coverage is sound but the example is truncated.","R2: preserve all five operand interpretations and address calculations."
"025","4","S4.15","P1","high","AND mask; OR mask; XOR mask; LSL; LSR; logical; arithmetic; cyclic; left; right; set; clear; toggle; monitor; control","13/15 objective groups; 1 visual(s)","monitor; control","truncated","13/15 objective groups","single visual","Control/monitor use and parts of the example are hidden/truncated.","R1+R2: show before/after bit patterns and application consequences for every operation."
"026","5","S5.01","P2","high","operating system; memory management; file management; security management; hardware management; process management","6/6 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","truncated","2/6 objective groups named in question prompts","single visual; example truncation","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Replace generic security framing with OS service request-to-resource flows."
"027","5","S5.02","P2","high","disk formatter; virus checker/antivirus; defragmentation; disk contents analysis/disk analysis/disk contents analysis repair; repair; compression; backup","7/7 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","0/7 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Give libraries/dynamic linking their own mechanism and assessment evidence."
"027","5","S5.03","P1","high","software under development; existing code; program libraries; developer; benefit; dynamically linked library/dll","6/6 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","4/6 objective groups named in question prompts","single visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Give libraries/dynamic linking their own mechanism and assessment evidence."
"028","5","S5.04","P2","high","assembler; compiler; interpreter","3/3 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","3/3 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Add a source-to-execution comparison trace for assembler/compiler/interpreter."
"029","5","S5.05","P2","high","compiler; interpreter; advantages/benefits; disadvantages/drawbacks","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","1/4 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Rebalance practice toward compiler/interpreter trade-offs and Java's two stages."
"029","5","S5.06","P1","high","java; partly; compiled; interpreted","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","4/4 objective groups named in question prompts","no visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Rebalance practice toward compiler/interpreter trade-offs and Java's two stages."
"030","5","S5.07","P1","high","ide; features; context sensitive; prompts; dynamic; checking; prettyprint; expand collapse; single step/single stepping; breakpoints; variable expression; inspection; report; window","14/14 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","2/14 objective groups named in question prompts","single visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Demonstrate all required IDE features on one debugging session."
"031","6","S6.01","P2","high","security; privacy; integrity","3/3 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","3/3 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Use one scenario to distinguish security, privacy and integrity consequences."
"031","6","S6.02","P2","high","computer system; security; data","3/3 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","3/3 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Use one scenario to distinguish security, privacy and integrity consequences."
"032","6","S6.04","P2","high","virus; spyware; hacker/hackers; phishing; pharming; threats","6/6 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","5/6 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Map each threat to mechanism, symptom, control and limitation."
"032","6","S6.05","P2","high","restrict/restricts/restriction; access; risk; threat","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","truncated","4/4 objective groups named in question prompts","single visual; example truncation","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Map each threat to mechanism, symptom, control and limitation."
"033","6","S6.03","P2","high","user account/user accounts; password; digital signature; biometric; firewall; anti virus/antivirus; anti spyware; encryption; security measure/security measures","9/9 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","3/9 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Promote password, signature, biometric, anti-malware and encryption mechanisms."
"033","6","S6.06","P1","high","encryption; access; rights; protect","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","1/4 objective groups named in question prompts","single visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Promote password, signature, biometric, anti-malware and encryption mechanisms."
"034","6","S6.07","P2","high","range check; format check; length check; presence check; existence check; limit check; check digit; verification; integrity/data integrity","7/9 objective groups named in default materials; semantic depth reviewed separately","verification; integrity/data integrity","present","2/9 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Add explicit visual/double-entry, parity and checksum procedures and practice."
"034","6","S6.08","P1","high","verification; visual check/visual checking; double entry; parity check; byte; block parity; checksum","7/7 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","truncated","2/7 objective groups named in question prompts","single visual; example truncation","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Add explicit visual/double-entry, parity and checksum procedures and practice."
"035","7","S7.01","P2","high","professional; ethics; purpose","3/3 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","2/3 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Explain what BCS/IEEE membership changes in professional conduct."
"035","7","S7.02","P1","high","joining; british; computer; society; ieee; codes; conduct","7/7 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","1/7 objective groups named in question prompts","no visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Explain what BCS/IEEE membership changes in professional conduct."
"036","7","S7.03","P2","high","situation; ethical; unethical; impact","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","2/4 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Replace generic ethics steps with a two-sided stakeholder consequence chain."
"037","7","S7.04","P2","high","copyright; software; legislation; needed","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","4/4 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Add a licence-choice decision table with enforceable rights and restrictions."
"037","7","S7.05","P2","high","fsf; osi; shareware; commercial; licences; licence","6/6 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","3/6 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Add a licence-choice decision table with enforceable rights and restrictions."
"038","7","S7.06","P1","high","ai; applications; evaluate; social; economic; environmental; impacts","7/7 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","3/7 objective groups named in question prompts","single visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Separate AI applications from social, economic and environmental causal impacts."
"039","8","S8.01","P1","high","limitations; file based; relational; databases; redundancy; inconsistency; linked tables","6/7 objective groups named in default materials; semantic depth reviewed separately","inconsistency","present","3/7 objective groups named in question prompts","single visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Teach every database term and relationship through one coherent schema."
"039","8","S8.02","P2","high","entity; table; record; tuple; field; attribute; primary key; candidate key; secondary key; foreign key; relationships; one to one; one to many; many to many; referential; integrity; indexing","17/17 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","1/17 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Teach every database term and relationship through one coherent schema."
"040","8","S8.03","P2","high","entity relationship; diagram","2/2 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","1/2 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Show 1NF→2NF→3NF decomposition with dependencies and reconstructed keys."
"040","8","S8.04","P1","high","1nf; 2nf; 3nf; normalised/normalized; design","5/5 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","truncated","2/5 objective groups named in question prompts","single visual; example truncation","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Show 1NF→2NF→3NF decomposition with dependencies and reconstructed keys."
"041","8","S8.05","P2","high","dbms; features; dictionary; modelling/modeling; logical; schema; integrity; security; backup; access; rights","11/11 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","4/11 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Separate DBMS components and show request flow through interface/query processor."
"041","8","S8.06","P1","high","developer; interface; query; processor","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","0/4 objective groups named in question prompts","no visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Separate DBMS components and show request flow through interface/query processor."
"042","8","S8.07","P1","high","ddl; creation; modification; database structure; dml; queries; maintenance; sql; industry standard; language","10/10 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","4/10 objective groups named in question prompts","single visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Demonstrate DDL versus DML on the same database instead of listing statements."
"043","8","S8.08","P2","high","sql; select; from; where; fields; table; condition","7/7 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","5/7 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Parse each SQL clause, then write and trace a two-table query."
"043","8","S8.10","P1","high","select; from; where; order by; group by; inner join; on; sum; count; avg; at most two/two table/two table","10/11 objective groups named in default materials; semantic depth reviewed separately","avg","present","5/11 objective groups named in question prompts","single visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Parse each SQL clause, then write and trace a two-table query."
"044","8","S8.09","P2","high","ddl; database; table; character; varchar; boolean; integer; real; date; time; alter; primary; foreign; references","14/14 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","4/14 objective groups named in question prompts","no visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Add real DML practice and complete DDL examples with all required types/keys."
"044","8","S8.11","P0","high","insert; delete; update","3/3 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","0/3 objective groups named in question prompts","carousel 3","No question requires INSERT, DELETE or UPDATE, so DML is credited without being practised.","R3: replace a question with three scenario-linked INSERT, DELETE and UPDATE tasks and map them only to S8.11."
"045","Review","REVIEW","P1","high","integrated retrieval; diagnosis; correction; transfer","four topic lanes are visible","answers and prior lessons carry most explanation","not applicable","broad lesson-level prompts without atomic mappings","review lanes conceal objective-level gaps","Review topics are named, but there is no auditable retrieval/correction loop for every contributing objective.","R1+R3: replace topic lanes with mapped retrieval prompts, model corrections and transfer tasks."
"046","9","S9.01","P1","high","abstraction; essential details; irrelevant detail; abstract model","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","truncated","2/4 objective groups named in question prompts","single visual; example truncation","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Show abstraction decisions and the resulting abstract model explicitly."
"047","9","S9.02","P2","high","decomposition; problem; modules; procedure; function","5/5 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","3/5 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Turn the generic module card into a responsibility/interface decomposition example."
"048","9","S9.03","P2","high","algorithm; solution; sequence; defined steps","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","2/4 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Build an identifier table and connect each field to algorithm meaning."
"048","9","S9.04","P2","high","meaningful; identifier; names; table","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","2/4 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Build an identifier table and connect each field to algorithm meaning."
"049","9","S9.05","P2","high","input process output; design; pseudocode; solution","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","truncated","3/4 objective groups named in question prompts","single visual; example truncation","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Carry one IPO table through to complete pseudocode and a test."
