lesson,target_id,title,target_type,delivery_role,classroom_activity,status,implementation_id,rationale,content_hash
004,rules,Single-bit addition rules,mechanism,OPTIONAL,EXTEND,Implemented,explanation-rules,Explicit extension visual retained outside compulsory syllabus evidence.,90c0458547d0b7135c5be3036185db7a37388460ddf2643439e1eedde98f024c
004,stage2-completion,Binary addition and fixed-width overflow,process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
005,range,8-bit signed ranges and zero,mechanism,OPTIONAL,EXTEND,Implemented,explanation-range,Explicit extension visual retained outside compulsory syllabus evidence.,071249b11ea2b662452c1a0f93f951db5a6e7d4ac788a7d01e783042e84017fe
005,stage2-completion,Signed representations and binary subtraction,process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
005,twos,Two’s complement method,mechanism,OPTIONAL,EXTEND,Implemented,explanation-twos,Explicit extension visual retained outside compulsory syllabus evidence.,7d32095d16dca8b9b1c378142bbe8601ad39ba0a0e0a4b4fd3fa08149483d4a1
006,convert,Converting simple binary fractions,mechanism,OPTIONAL,EXTEND,Implemented,explanation-convert,Explicit extension visual retained outside compulsory syllabus evidence.,94371fdcee4aafaa86cf6609afb2f69461df21770d70d92ee873ac4e40ab1316
006,point,Binary fractional place value,mechanism,OPTIONAL,EXTEND,Implemented,explanation-point,Explicit extension visual retained outside compulsory syllabus evidence.,79b7e1930b13892fe231a8d8321180da0907dba76cf48548a1b7c76d9d6b056c
006,precision,Precision limits: why computers sometimes approximate,mechanism,OPTIONAL,EXTEND,Implemented,explanation-precision,Explicit extension visual retained outside compulsory syllabus evidence.,6a45ced3e908f0be32902215452bf2c01f490bcfc158bd9135ebbfe2bc5693db
006,stage2-completion,BCD and hexadecimal in practical systems,process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
007,ascii,ASCII and extended ASCII,mechanism,CORE,TEACH,Implemented,explanation-ascii,Maintained explanation target.,d0476364d3b7870404ef9fa8e70c1ccc3895625a11cde65b3e7d3e4ac3364676
007,concept,What a character set actually does,mechanism,OPTIONAL,EXTEND,Implemented,explanation-concept,Explicit extension visual retained outside compulsory syllabus evidence.,5037595b329560efb56eabef69eea8d9afedc3e3251a306e85279d58a78ea948
007,encoding,Character set vs encoding,comparison,OPTIONAL,EXTEND,Implemented,explanation-encoding,Explicit extension visual retained outside compulsory syllabus evidence.,546008c9e31dac08af5f0f34ae98eaa843c487cee63133974702ac96a81371ba
007,stage2-completion,Character sets and internal binary character data,process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
007,unicode,"Unicode: more characters, more global use",mechanism,OPTIONAL,EXTEND,Implemented,explanation-unicode,Explicit extension visual retained outside compulsory syllabus evidence.,105c49e444da10fa58506385eb22b8553666877326d089e793c783c71580028d
008,depth,Colour depth: bits per pixel,mechanism,OPTIONAL,EXTEND,Implemented,explanation-depth,Explicit extension visual retained outside compulsory syllabus evidence.,120803dae4672e4721344bff40b94fadccda4f5517e43c0899130975076a9465
008,formula,Bitmap file size formula,mechanism,OPTIONAL,EXTEND,Implemented,explanation-formula,Explicit extension visual retained outside compulsory syllabus evidence.,c879e759b64d2a1d7236e1ea7fdaac60a4726242bd7e38c328f8611f3ad21d0c
008,pixels,Bitmap file header and pixel data,mechanism,CORE,TEACH,Implemented,explanation-pixels,Maintained explanation target.,6bfe7dea7bf3b4b3a13e59cfa9b2c71333629a39ec2659b11dd3199cb68c1b43
008,resolution,Resolution: width × height,mechanism,OPTIONAL,EXTEND,Implemented,explanation-resolution,Explicit extension visual retained outside compulsory syllabus evidence.,b1aa53bb325442cc666f30b80bb6caa39ce4e963dcfe8ca130ec70eb0448ef83
008,stage2-completion,"Bitmap file headers, image resolution and screen resolution",process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
009,chain,The calculation chain,mechanism,OPTIONAL,EXTEND,Implemented,explanation-chain,Explicit extension visual retained outside compulsory syllabus evidence.,7fd942aa78ae72b4d8c0a35648c531356df6050aac503a276380fd9bdbdff8a4
009,metadata,"Metadata is data about the image, not the pixels themselves",mechanism,OPTIONAL,EXTEND,Implemented,explanation-metadata,Explicit extension visual retained outside compulsory syllabus evidence.,20c3c8a4d43bb096b6d20dbf6636d4a1ea990b921d454f359930db682ee9921f
009,stage2-completion,Bitmap file-size calculations and metadata,process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
009,units,Units: do not trip at the finish line,mechanism,OPTIONAL,EXTEND,Implemented,explanation-units,Explicit extension visual retained outside compulsory syllabus evidence.,230f0a44b16bafbfe87e61ae637f9c694ea42b9ee54f87123e326d338bef05c5
010,drawing-list,"Vector drawing list: objects, properties and redrawing",mechanism,CORE,TEACH,Implemented,explanation-drawing-list,Maintained explanation target.,c6b71898ce5bb712b278988ce71eedd898eda6df33df32743dd4dd5989e592da
010,stage2-completion,Vector graphics and drawing lists,process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
011,duration,Duration: how long the sound lasts,mechanism,OPTIONAL,EXTEND,Implemented,explanation-duration,Explicit extension visual retained outside compulsory syllabus evidence.,16afdadffea2dabc687f5cdc540f5509862f308d2b0c666707efbe59c1b20e57
011,formula,Basic mono sound file size formula,mechanism,OPTIONAL,EXTEND,Implemented,explanation-formula,Explicit extension visual retained outside compulsory syllabus evidence.,3e9297f3a0ebaeee23440c460a190f40cba17a120bdeadefb9fc1ba6e0857813
011,rate,Sampling rate: samples per second,mechanism,OPTIONAL,EXTEND,Implemented,explanation-rate,Explicit extension visual retained outside compulsory syllabus evidence.,72112843b52c4dcae6ca125a4aba502ec4d43c6c50ffc4aa07dadde8c97f6815
011,resolution,Sampling resolution: bits per sample,mechanism,CORE,TEACH,Implemented,explanation-resolution,Maintained explanation target.,18e6264f09c09d245c390c0edd73b3d10a3e43c7a567cf48a5ee833a90c7b7d5
011,sampling,Sampling turns an analogue wave into digital values,mechanism,CORE,TEACH,Implemented,explanation-sampling,Maintained explanation target.,68c54a02f404466efc050e85a633fa4e6f3a93bf1052e02206f20981b60c55c9
011,stage2-completion,"Sound sampling, sampling resolution, accuracy and storage",process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
012,channels,Channels: mono and stereo,mechanism,OPTIONAL,EXTEND,Implemented,explanation-channels,Explicit extension visual retained outside compulsory syllabus evidence.,fbd371d809d05330aaa3d779360f8e99794874f9e71797028d456fa8bf6d4531
012,formula,The full uncompressed sound formula,mechanism,OPTIONAL,EXTEND,Implemented,explanation-formula,Explicit extension visual retained outside compulsory syllabus evidence.,b740b1e26bfabc04fbb7e350e1ebd054a1db899af5736dc6748069026f1896c8
012,tradeoffs,Parameter changes and consequences,mechanism,OPTIONAL,EXTEND,Implemented,explanation-tradeoffs,Explicit extension visual retained outside compulsory syllabus evidence.,8c0f156cb466e5231bb27140dc7750fc107b5924cc5dfa5ebb7bda3ccd20f25c
012,units,Unit conversion without changing the answer,mechanism,OPTIONAL,EXTEND,Implemented,explanation-units,Explicit extension visual retained outside compulsory syllabus evidence.,e04c9d806d739ed3002a84494c6e6b0be5ef6e091ec2f24c48a75a02d840bd29
013,lossless,Lossless compression: exact reconstruction,mechanism,CORE,TEACH,Implemented,explanation-lossless,Maintained explanation target.,14e2017b008dc6d955aac405617de909ebb8997d4776e5f58e000366bcc38cde
013,lossy,"Lossy compression: smaller, but not exact",mechanism,OPTIONAL,EXTEND,Implemented,explanation-lossy,Explicit extension visual retained outside compulsory syllabus evidence.,c95e4f16e6360ed144c80c8ce9b81db9bc6fbb70f2986812880328e86f4f0c2e
013,purpose,Why compress data?,mechanism,OPTIONAL,EXTEND,Implemented,explanation-purpose,Explicit extension visual retained outside compulsory syllabus evidence.,e1d9d95b7ba740c832f5f859ae5dc7544e97adb88594964c10c841ad4219e40f
013,ratio,Compression ratio and saved space,mechanism,OPTIONAL,EXTEND,Implemented,explanation-ratio,Explicit extension visual retained outside compulsory syllabus evidence.,333abc1f80301661e989eebe68bd7ede01d7fb7851dcbf2566d0231c97765123
013,stage2-completion,"Compression methods for text, bitmap, vector and sound files",process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
014,dictionary,Dictionary-style compression,mechanism,OPTIONAL,EXTEND,Implemented,explanation-dictionary,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",1d93f483bc6daf1a4f26c9a9b84152ce4ba3f0023140ba26bba0320bece61a59
014,effectiveness,When does it help?,mechanism,OPTIONAL,EXTEND,Implemented,explanation-effectiveness,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",249f3314233fb0b9202f38e1278ac0d83324922073b98ee3a97321fbaf9e4527
014,rle,Run-length encoding,mechanism,OPTIONAL,EXTEND,Implemented,explanation-rle,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",a3ff0a9aa381f865719883fd2fd314cc0cd75c8834583ff4ec5b0219e439f20c
015,cases,System cases,mechanism,OPTIONAL,EXTEND,Implemented,explanation-cases,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",df91dd4366958bff7bcda63e4a6470af6fe0959c3a666aeaa3f79f536131d675
015,framework,A decision framework,mechanism,OPTIONAL,EXTEND,Implemented,explanation-framework,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",4535b6079d6e77b323aaa679ade893ef06bb4e81e386bcf1402939b160628631
015,tradeoffs,Useful trade-off sentences,mechanism,OPTIONAL,EXTEND,Implemented,explanation-tradeoffs,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",4aa4efb092671020ef22e834c3c7bd34856dff603e568152c8b8d9f9cf88d2f3
016,methods,Section 1 method bank,synthesis,OPTIONAL,EXTEND,Implemented,explanation-methods,Review lesson: consolidate related ideas into causal synthesis and avoid adding panels to retrieval items or tools.,ebf3dbd9741fc38f099b5a2f413c402b3c59ada8f0b604df79427da7f013efc7
016,sprint,Six-minute review sprint,synthesis,OPTIONAL,EXTEND,Implemented,explanation-sprint,Review lesson: consolidate related ideas into causal synthesis and avoid adding panels to retrieval items or tools.,245b7342ef4dbc1285b4271e643f24086f87cc83e4f58cac270a42fb32b1095a
016,triage,Question triage: choose the toolbox first,synthesis,OPTIONAL,EXTEND,Implemented,explanation-triage,Review lesson: consolidate related ideas into causal synthesis and avoid adding panels to retrieval items or tools.,b7260c2bdc037cdf5ef51d8b9f3ab16c6414f76fc1a9f8bb3f5849629ff274d7
017,lanwan,Why LAN and WAN management differs,comparison,OPTIONAL,EXTEND,Implemented,explanation-lanwan,Explicit extension visual retained outside compulsory syllabus evidence.,7990027126c9aaf54eda83a6c549db97345b95725de9b20e464afd1638e121f2
017,purpose,How a shared resource becomes useful,mechanism,OPTIONAL,EXTEND,Implemented,explanation-purpose,Explicit extension visual retained outside compulsory syllabus evidence.,5676b950c0a11611421cace5266340bce5006178f55f565f2df9c1e2b281c1b4
017,stage2-completion,Network purpose and client/server models,comparison,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
017,topologies,Why connection patterns change risk,tradeoff,OPTIONAL,EXTEND,Implemented,explanation-topologies,Explicit extension visual retained outside compulsory syllabus evidence.,3bd4694527a1c84dbdfd899d04a664771b1428ce204d70d8e16064274217ceb3
018,compare,Client-server vs peer-to-peer,comparison,OPTIONAL,EXTEND,Implemented,explanation-compare,Explicit extension visual retained outside compulsory syllabus evidence.,64fdb43c9962e49379b1e78533f0ef91500024dc9cb0b1787c404627525014d6
018,model-visual,One model has equal peers; the other has dedicated service roles,comparison,OPTIONAL,EXTEND,Implemented,explanation-model-visual,Explicit extension visual retained outside compulsory syllabus evidence.,1e40f79fc29ee9a7223dff7c01d86f2265d92c19faf64b1beaff37caec32136b
018,roles,Core roles,mechanism,OPTIONAL,EXTEND,Implemented,explanation-roles,Explicit extension visual retained outside compulsory syllabus evidence.,74beb17cd03f8ecd481ae800d0435f61fa10986e3599ef15b01a633cce713e85
018,stage2-completion,"Bus, star, mesh and hybrid topologies",process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
018,usecases,Scenario choices,mechanism,OPTIONAL,EXTEND,Implemented,explanation-usecases,Explicit extension visual retained outside compulsory syllabus evidence.,39a1a80496f9db0f091d5c13fbe48e23a818d14e9eb16788cf8ee59cc06d9563
019,packet-journey,"One message, several routes, one reassembled result",mechanism,OPTIONAL,EXTEND,Implemented,explanation-packet-journey,Explicit extension visual retained outside compulsory syllabus evidence.,da49afedc427063b2e5db4b96dc9582c5d0378b8f775aefee1765b97f43f6230
019,routing,Routing and arrival,mechanism,OPTIONAL,EXTEND,Implemented,explanation-routing,Explicit extension visual retained outside compulsory syllabus evidence.,a684fd4283c326173cd236371f1f4b35a2c55a13e916747d7bd0f356d3ebad8b
019,stage2-completion,Packet transmission between two hosts in each required topology,process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
019,structure,Packet structure,mechanism,OPTIONAL,EXTEND,Implemented,explanation-structure,Explicit extension visual retained outside compulsory syllabus evidence.,c11b06c66cc768d3b572c7e797a8494a53905e90de31c19f851e9d965aab2f8b
019,switching,Packet switching,mechanism,OPTIONAL,EXTEND,Implemented,explanation-switching,Explicit extension visual retained outside compulsory syllabus evidence.,4e5fa0ea5f732685dca9e174fbf2e8d1d78c519bd5c382453851d149913c89ec
020,layers,Layered communication,mechanism,OPTIONAL,EXTEND,Implemented,explanation-layers,Explicit extension visual retained outside compulsory syllabus evidence.,0df99413344a80da8aa23af586c3c722cf90450b15085a7b990e9e4676e88731
020,protocols,What a protocol is,mechanism,OPTIONAL,EXTEND,Implemented,explanation-protocols,Explicit extension visual retained outside compulsory syllabus evidence.,6097449f418482a136d17ee57ba8720858d401b4cf510456d41902b44bc999fd
020,rules,What protocol rules can specify,mechanism,OPTIONAL,EXTEND,Implemented,explanation-rules,Explicit extension visual retained outside compulsory syllabus evidence.,22272e58bdab72685c42d187870cc1327081122ef72086fc67f88b0dcd3a6783
020,stage2-completion,"Cloud, wired and wireless networking",process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
021,address-journey,From a URL to a packet on the local link,mechanism,OPTIONAL,EXTEND,Implemented,explanation-address-journey,Explicit extension visual retained outside compulsory syllabus evidence.,f2caa82d556117a18470e1da633ba22f9ebd49a57bfd01e41fb05a76bc5ee85e
021,addresses,IP address vs MAC address,comparison,OPTIONAL,EXTEND,Implemented,explanation-addresses,Explicit extension visual retained outside compulsory syllabus evidence.,52cbae1eadfb5756fea528fd20e6134e43b35a51b24ed6eb504bcaa3a8a1c4a1
021,checkpoint,5-minute mini assessment,mechanism,OPTIONAL,EXTEND,Implemented,explanation-checkpoint,Explicit extension visual retained outside compulsory syllabus evidence.,7d331e3e74276210e584949d5db15dce11912f0545c573639fdb328672948ea2
021,dns,DNS: name to IP address,mechanism,OPTIONAL,EXTEND,Implemented,explanation-dns,Explicit extension visual retained outside compulsory syllabus evidence.,e5fe1ff8773adf14e5a39c0dfffe065929702c8cff9a0ddff421abcae1fa2202
021,stage2-completion,"LAN hardware, Ethernet, streaming, the internet, IP and URL",process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
021,urls,URL components,mechanism,OPTIONAL,EXTEND,Implemented,explanation-urls,Explicit extension visual retained outside compulsory syllabus evidence.,f0a1863b1ac77d7f2ed5568d6cfc568bb8783131efb92f3caffa27090e9f68a8
022,email,"Email protocols: SMTP, POP3 and IMAP",mechanism,OPTIONAL,EXTEND,Implemented,explanation-email,Explicit extension visual retained outside compulsory syllabus evidence.,aef462defcfc62d72fbdd0beed055051f461a1052097ddd1cc3dd6c094150e4c
022,file,FTP for file transfer,mechanism,OPTIONAL,EXTEND,Implemented,explanation-file,Explicit extension visual retained outside compulsory syllabus evidence.,691ec65cd19f9630439693407ee1a3baf411d9be9077169cb4da9c17aa5b281e
022,web,HTTP and HTTPS,mechanism,OPTIONAL,EXTEND,Implemented,explanation-web,Explicit extension visual retained outside compulsory syllabus evidence.,a35abf81d90cff4a2f734b227b71c883d69a12c2647f1bbef40ecdb2bd739851
023,compare,"Compare by factor, not by vibe",comparison,OPTIONAL,EXTEND,Implemented,explanation-compare,Explicit extension visual retained outside compulsory syllabus evidence.,30ca00ba09986e21b31adf8959a670f226d8936836549cc0e75fbba65e8c026d
023,wired,Wired transmission media,mechanism,OPTIONAL,EXTEND,Implemented,explanation-wired,Explicit extension visual retained outside compulsory syllabus evidence.,09d7549a78c539b8211861c51d7a85180b3e7ea7ecd94512baf86d1fbc96e5ce
023,wireless,Wireless transmission media,mechanism,OPTIONAL,EXTEND,Implemented,explanation-wireless,Explicit extension visual retained outside compulsory syllabus evidence.,dde115eb00129e71db22d8f2b7fc5edcd898e34621ef0ee1a392ffef04140c55
024,compare,Compare by job and boundary,comparison,OPTIONAL,EXTEND,Implemented,explanation-compare,Explicit extension visual retained outside compulsory syllabus evidence.,925ba4c78fe6181438efa9758f2e6d88ca52d49c2e21aa48e50d2815b3454298
024,gateway,Gateways: connecting different network rules,mechanism,OPTIONAL,EXTEND,Implemented,explanation-gateway,Explicit extension visual retained outside compulsory syllabus evidence.,c030f912d214e643f06cdb5d2a9e5e09ebb420cbc74d85df2a2e6f2eff20d5d8
024,lan,Switches: forwarding inside a LAN,mechanism,OPTIONAL,EXTEND,Implemented,explanation-lan,Explicit extension visual retained outside compulsory syllabus evidence.,603ca01248ece9ce4afde04371e8c9cf26d0e6b61f0899ba1d5a0596154d055a
024,routing,Routers: forwarding between networks,mechanism,OPTIONAL,EXTEND,Implemented,explanation-routing,Explicit extension visual retained outside compulsory syllabus evidence.,0c0d1553a7676c8c87c11f7a76b91ef7a0cd22c28a9ed9be54a2adfc10e6f20f
024,wireless,Wireless access points: joining wireless devices,mechanism,OPTIONAL,EXTEND,Implemented,explanation-wireless,Explicit extension visual retained outside compulsory syllabus evidence.,91817430213868442a470cef1f01e8fe39a77d66cb2d7e3fea5464075348a1f1
025,cloud,Cloud services,mechanism,OPTIONAL,EXTEND,Implemented,explanation-cloud,Explicit extension visual retained outside compulsory syllabus evidence.,edd0d4fc725857948210419735e5cbc4ce0edc0f530bc206a05e219844b0be5e
025,compare,Compare networks by access and control,comparison,OPTIONAL,EXTEND,Implemented,explanation-compare,Explicit extension visual retained outside compulsory syllabus evidence.,eaa7435c345d970d6d55996f337955dc5b62a7814de5a9aafcdf2dee95a22834
025,networks,"Internet, intranet and extranet",mechanism,OPTIONAL,EXTEND,Implemented,explanation-networks,Explicit extension visual retained outside compulsory syllabus evidence.,8af522bd910a7c272ef1be86cdf2efa92b551ce521890d045460319deff5480c
026,calculation,Simple transfer time calculation,mechanism,OPTIONAL,EXTEND,Implemented,explanation-calculation,Explicit extension visual retained outside compulsory syllabus evidence.,b8b71955f0bf42a0195733db419b3e4267c8beeee9be1af7e80da942d0a14f64
026,concepts,Core performance terms,tradeoff,OPTIONAL,EXTEND,Implemented,explanation-concepts,Explicit extension visual retained outside compulsory syllabus evidence.,50e2e88911fbc1ea11609ead97a51b72c3194357cb49e636058d47f121ba283f
026,factors,Factors that affect performance,tradeoff,OPTIONAL,EXTEND,Implemented,explanation-factors,Explicit extension visual retained outside compulsory syllabus evidence.,6e5292e8af6327b986cf5df70fefb27f6309861ba45884eecc59620acb45a9a6
027,map,Section 2 in one page,synthesis,OPTIONAL,EXTEND,Implemented,explanation-map,Review lesson: consolidate related ideas into causal synthesis and avoid adding panels to retrieval items or tools.,117bae1d32f3e2ebacb80d239a638dcf64ec7d4c1df5e71c1e32e715301793dc
027,precision,Precision rules for Section 2 answers,synthesis,OPTIONAL,EXTEND,Implemented,explanation-precision,Review lesson: consolidate related ideas into causal synthesis and avoid adding panels to retrieval items or tools.,53d17c68e39fabe6fa58f6b245e3d67b18b6e6a61becfb9c2cc1c5a53f4d8458
028,components,Component roles and examples,mechanism,OPTIONAL,EXTEND,Implemented,explanation-components,Explicit extension visual retained outside compulsory syllabus evidence.,9f0b975ec00ce5096e2d6fa096585eae4eed50acd791ab4ac0e42f27ff11df93
028,flow,The basic system flow,mechanism,OPTIONAL,EXTEND,Implemented,explanation-flow,Explicit extension visual retained outside compulsory syllabus evidence.,704cd65563cdff5147b1a14431b08e6b53860db06505bf7fc4ed31455ad386ee
028,memory-storage,Memory is not the same as storage,mechanism,OPTIONAL,EXTEND,Implemented,explanation-memory-storage,Explicit extension visual retained outside compulsory syllabus evidence.,0be3af5ec51bc82a7ed333f1ef8c3904b5017abb62f7f2616385857f6d277feb
028,stage2-completion,"Why computer systems need input, output and storage",process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
029,automatic,Manual input vs automatic data capture,comparison,OPTIONAL,EXTEND,Implemented,explanation-automatic,Explicit extension visual retained outside compulsory syllabus evidence.,2cd8a57323b972413984aa722273f2e51b0daedb1d98596dc2d177c3d296f3d1
029,capture,What input devices do,mechanism,OPTIONAL,EXTEND,Implemented,explanation-capture,Explicit extension visual retained outside compulsory syllabus evidence.,6443bfa4ad4ba2f0218771c6524a49806765dff7ebf07890858c9cc8da1b7610
029,devices,Common input devices and what they capture,mechanism,OPTIONAL,EXTEND,Implemented,explanation-devices,Explicit extension visual retained outside compulsory syllabus evidence.,5441f37be219fd960dbe9f861302c8811ab90cdc75a2a16f7cb3dfa99b223da5
029,stage2-completion,"Embedded systems: purpose, benefits and drawbacks",process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
030,devices,Common output devices and when they fit,mechanism,OPTIONAL,EXTEND,Implemented,explanation-devices,Explicit extension visual retained outside compulsory syllabus evidence.,276bc20b34d08a9c5ab7f9ce2d86a3d125c2e9017e3fef6f106284f71c963d64
030,feedback,User feedback must fit the situation,mechanism,OPTIONAL,EXTEND,Implemented,explanation-feedback,Explicit extension visual retained outside compulsory syllabus evidence.,f9bf662b7493f758fa7200685dedcdf8a6a2ac7f8693596f85b56f58816fca4c
030,purpose,What output devices do,mechanism,OPTIONAL,EXTEND,Implemented,explanation-purpose,Explicit extension visual retained outside compulsory syllabus evidence.,d286cae49888c6be6c52518e34e68df5833cd036e04017a78bbe2952ad5605cf
030,stage2-completion,"Microphone, touchscreen and VR headset operation",process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
031,cache-vm,Why cache helps and virtual memory slows,comparison,OPTIONAL,EXTEND,Implemented,explanation-cache-vm,Explicit extension visual retained outside compulsory syllabus evidence.,4a29caa535ca1d50f8031205d841f0ff899aaf45c5d942cacdff6b21564c0ca2
031,primary,Why active data stays close to the CPU,mechanism,OPTIONAL,EXTEND,Implemented,explanation-primary,Explicit extension visual retained outside compulsory syllabus evidence.,c0c5ec12a7c49bd5284d238252d7a9a11cbdf664e755c8b261803649650d9c33
031,ram-rom,Why RAM changes while ROM remains stable,comparison,OPTIONAL,EXTEND,Implemented,explanation-ram-rom,Explicit extension visual retained outside compulsory syllabus evidence.,33443e8afde27d558b5f14cf026fe9ad55f8881df0fdb529ebf9b1f2418c6dd0
031,stage2-completion,"Output, storage devices and primary memory",process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
032,compare,"Compare by scenario, not by favourite brand",comparison,OPTIONAL,EXTEND,Implemented,explanation-compare,Explicit extension visual retained outside compulsory syllabus evidence.,b0d373c8e9ae868935e97f6823643f74205976944a41b705f051041f757a4672
032,media,Three main storage media,mechanism,OPTIONAL,EXTEND,Implemented,explanation-media,Explicit extension visual retained outside compulsory syllabus evidence.,b5807b03262cbeb76bf4c5465bbaac4a0d3384a1e66e58760e97f61b6ee021e5
032,purpose,What secondary storage does,mechanism,OPTIONAL,EXTEND,Implemented,explanation-purpose,Explicit extension visual retained outside compulsory syllabus evidence.,e82d1e9dcd43e6bf3059514f008583677853097c574b9cfac8f456378f166046
032,sensors,Required sensor types and applications,mechanism,CORE,TEACH,Implemented,explanation-sensors,Maintained explanation target.,6d7178a6f201bafe6c62673a7ba97638ce55077d8ba69333d5cc3e56f6d787fa
032,stage2-completion,"Monitoring, control, feedback and required sensors",process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
032,storage-visual,Look at the storage mechanism before comparing performance,tradeoff,OPTIONAL,EXTEND,Implemented,explanation-storage-visual,Explicit extension visual retained outside compulsory syllabus evidence.,fdebb775a113c2feb2c9aac11280308e35a8bd049e220f6fd9a01874d3d3d4bf
033,answer,The answer pattern: choice -> characteristic -> context -> consequence,mechanism,OPTIONAL,EXTEND,Implemented,explanation-answer,Explicit extension visual retained outside compulsory syllabus evidence.,4db2c0e5e8e6565192b89e99e2b578fe0d0817dd51cca43e3cda712ed05ac60b
